子曰:學而時習之，不亦說乎?	Đức Khổng tử nói: “Học rồi mà tùy thời ôn tập, lại chẳng đẹp lòng sao?
求也何如？	“Thầy Cầu như thế nào?”.
子曰：求也，千室之邑，百乘之家，可使為之宰也；不知其仁也。	Đức Khổng tử nói: “Trò Cầu, có thể cho giữ chức quan tể một ấp ngàn hộ dân, cho một nhà quan có trăm cỗ xe. Còn đức nhân của trò ấy thì [ta] không biết.”.
赤也何如？	“Thầy Xích như thế nào?”.
子曰：赤也，束帶立於朝，可使與賓客言也；不知其仁也。	Đức Khổng tử nói: “Trò Xích, thắt đai lưng ở triều đình, có thể khiến cùng tân khách nói chuyện. Còn đức nhân của trò ấy thì [ta] không biết.”.
子謂子貢曰：女與回也孰愈？	Đức Khổng tử bảo Tử Cống rằng: “Nhà ngươi cùng với Hồi, ai hơn?”.
對曰：賜也，何敢望回！	Đáp rằng: “Tứ này sao dám mong bằng Hồi?
回也聞一以知十，賜也聞一以知二。	Hồi nghe một thì biết mười, Tứ này nghe một chỉ biết đến hai.”.
子曰：弗如也，吾與女弗如也。	Đức Khổng tử nói: “Chẳng bằng. Ta cùng với nhà ngươi chẳng bằng vậy.”.
宰予晝寢。	Tể Dư ngủ ngày.
子曰：朽木不可雕也，糞土之牆，不可杇也。於予與何誅！	Đức Khổng tử nói: “Gỗ mục, không thể chạm khắc; bức tường bẩn thỉu, không thể tô trát, đối với trò Dư ta trách mắng làm gì?”.
子曰：始吾於人也，聽其言而信其行；今吾於人也，聽其言而觀其行。	Đức Khổng tử nói: “Trước kia ta đối với người, nghe lời nói mà tin việc làm. Bây giờ ta đối với người, nghe lời nói mà phải xem việc làm.
於予與改是！	Vì trò Dư mà ta thay đổi như thế.”.
子曰：吾未見剛者！	Đức Khổng tử nói: “Ta chưa thấy [ai là] người cương quyết.”.
或對曰：申棖。	Có người đáp: “[Có] Thân Trành đó!”.
子曰：棖也慾，焉得剛？	Đức Khổng tử nói: “Trành là người ham muốn, sao [có thể] cương quyết được.”.
子貢曰：我不欲人之加諸我也，吾亦欲無加諸人。	Thầy Tử Cống nói: “Ta không muốn người thêm điều gì cho ta, ta cũng muốn không thêm cho người điều ấy.”.
子曰：賜也，非爾所及也！	Đức Khổng tử nói: “Này Tứ, chẳng phải ngươi đã đạt đến mức ấy đâu !”.
子貢曰：夫子之文章，可得而聞也；夫子之言性與天道，不可得而聞也。	Thầy Tử Cống nói: “Văn chương của thầy thì có thể được nghe. Lời của thầy nói về tính cùng đạo Trời thì chưa được nghe vậy.”.
子貢問曰：孔文子何以謂之文也？	Thầy Tử Cống hỏi rằng: “Khổng Văn Tử, sao lại được gọi là Văn?”.
子曰：敏而好學，不恥下問，是以謂之文也。	Đức Khổng tử nói: “Sáng suốt mà lại hiếu học, hạ mình hỏi han mà không xấu hổ, vậy nên được gọi là Văn.”.
子曰：晏平仲善與人交，久而敬之。	Đức Khổng tử nói: “Ông Án Bình Trọng khéo giao thiệp với người; lâu mà vẫn giữ niềm kính cẩn.”.
子曰：臧文仲居蔡，山節，藻梲，何如其知也？	Đức Khổng tử nói: “Tang Văn Trọng cất nhà cho rùa ở, có họa tiết núi non, rong rêu ở cột trụ. Như thế khôn sáng sao được?”.
子張問曰：令尹子文，三仕為令尹，無喜色；三已之，無慍色。	Thầy Tử Trương hỏi rằng: “Lệnh doãn Tử Văn ba lần làm quan lệnh doãn, không có vẻ hoan hỷ; ba lần bị bãi chức, không có vẻ buồn giận.
舊令尹之政，必以告新令尹。	Việc cai trị của chức lệnh doãn cũ đều được báo cáo cho quan lệnh doãn mới.
何如？	Như thế là sao?”.
子曰：忠矣。	Đức Khổng tử nói: “Có lòng trung vậy.”.
曰：仁矣乎？	Lại hỏi: “Được là nhân chăng?”.
曰：未知，焉得仁？	Đáp: “Chưa biết, thế sao được là nhân?”.
崔子弒齊君，陳文子有馬十乘，棄而違之，至於他邦，則曰：“猶吾大夫崔子也！”違之。	“Thôi tử giết vua Tề. Ông Trần Văn Tử có mười cỗ xe ngựa, bỏ mà lánh đi. Đến nước khác liền nói: ‘Cũng giống như quan đại phu Thôi Tử ở ta thôi.’ Lại lánh đi.
之一邦，則又曰：“猶吾大夫崔子也！”違之。	Đến một nước nữa, lại nói: ‘Cũng giống như quan đại phu Thôi Tử ở ta thôi:’ Lại lánh đi.
何如？	Như thế là sao?”.
子曰：清矣。	Đức Khổng tử nói: “Có lòng trong sạch vậy.”.
曰：仁矣乎？	Lại hỏi:“Được là nhân chăng?”.
曰：未知，焉得仁？	Đáp: “Chưa biết. Thế sao được là nhân?”.
子聞之，曰：再，斯可矣！	Đức Khổng tử nghe vậy nói rằng:”Lần thứ hai, thế là đủ rồi.”.
子曰：甯武子，邦有道，則知；邦無道，則愚。	Đức Khổng tử nói: “Như ông Ninh Vũ Tử, khi nước có đạo thì làm người khôn ngoan; khi nước không có đạo thì làm kẻ ngu si.
其知可及也，其愚不可及也。	Sự khôn ngoan của ông có thể theo kịp, mà sự ngu si của ông thật không thể theo kịp.”.
Tửviết:“NinhVũtử,banghữuđạotắctrí;bangvôđạotắcngu.	Đức Khổng tử khi ở nước Trần nói: “Về chăng?
Kỳtríkhảcậpdã;kỳngubấtkhảcậpdã.”子在陳曰：歸與歸與！	Về chăng?
吾黨之小子狂簡，斐然成章，不知所以裁之！	Nhóm đệ tử nhỏ nhoi của ta, những kẻ ngông cuồng, đơn sơ, rõ là văn vẻ, nhưng chẳng biết tự sửa sang lấy mình.”.
子曰：伯夷，叔齊，不念舊惡，怨是用希。	Đức Khổng tử nói: “Bá Di, Thúc Tề, không nhớ đến điều xấu cũ, nên ít oán người.”.
子曰：孰謂微生高直？	Đức Khổng tử nói: “Ai bảo Vi sinh Cao ngay thẳng?
或乞醯焉，乞諸其鄰而與之。	Có người đến xin giấm, bèn xin bên hàng xóm mà cho.”.
子曰：巧言，令色，足恭，左丘明恥之，丘亦恥之。	Đức Khổng tử nói: “Nói năng dối trá, trau chuốt nhan sắc, cung kính thái quá, Tả Khâu Minh lấy làm hổ thẹn; Khâu này cũng hổ thẹn.
匿怨而友其人，左丘明恥之，丘亦恥之。	Giấu giếm sự oán hận mà [giả vờ] thân thiện với người, Tả Khâu Minh lấy làm hổ thẹn; Khâu này cũng hổ thẹn.”.
顏淵，季路侍。	Thầy Nhan Uyên và thầy Quí Lộ theo hầu.
子曰：盍各言爾志？	Đức Khổng tử nói: “Sao các ngươi không nói ra ý nguyện của mình?”.
子路曰：願車馬，衣輕裘，與朋友共，敝之而無憾。	Thầy Tử Lộ nói: “Muốn có xe ngựa, mặc áo lông cừu nhẹ; cùng bạn bè chia sẻ, hư nát mà chẳng giận.”.
顏淵曰：願無伐善，無施勞。	Nhan Uyên nói: “Muốn chẳng khoe điều thiện, chẳng thi thố công lao.”.
子路曰：願聞子之志！	Tử Lộ nói: “Xin được nghe ý nguyện của thầy.”.
子曰：老者安之，朋友信之，少者懷之。	Đức Khổng tử nói: “Đem an vui cho người già, đem niềm tin cho bạn bè, đem hoài bão cho người tuổi trẻ.”.
子曰：已矣乎！	Đức Khổng tử nói: “Thôi vậy!
吾未見能見其過，而內自訟者也。	Ta chưa từng thấy ai có thể nhận ra lỗi lầm của mình mà trong lòng tự oán trách.”.
子曰：十室之邑，必有忠信如丘者焉，不如丘之好學也。	Đức Khổng tử nói: “Một xóm có mười nhà, ắt Khâu này, nhưng không có người hiếu học như có người trung tín như Khâu.”.
子曰：雍也，可使南面。	Đức Khổng tử nói: “Trò Ung, có thể khiến quay mặt về hướng nam.”.
仲弓問子桑伯子，子曰：可也，簡。	Trọng Cung hỏi về ông Tử Tang Bá Tử. Đức Khổng tử nói: “Khá đấy! Giản dị.”.
仲弓曰：居敬而行簡，以臨其民，不亦可乎？	Trọng Cung nói: “Sinh hoạt kính cẩn mà hành động giản dị, lấy đó đến với dân, lại chẳng khá sao?
居簡而行簡，無乃大簡乎？	Sinh hoạt giản dị mà hành động giản dị, như thế chẳng phải giản dị thái quá sao?.
子曰：雍之言然。	Đức Khổng tử nói: “Lời trò Ung phải đó.”.
哀公問：弟子孰為好學？	Vua Ai Công hỏi: “Học trò ngài có ai hiếu học?”.
孔子對曰：有顏回者好學，不遷怒，不貳過。	Đức Khổng tử trả lời: “Có Nhan Hồi là người hiếu học. Không dời đổi nổi giận, không phạm lỗi hai lần.
不幸短命死矣！	Chẳng may, mệnh ngắn ngủi, đã mất!
今也則亡，未聞好學者也。	Nay thì không có, chưa nghe thấy người nào hiếu học.”.
子華使於齊，冉子為其母請粟。	Thầy Tử Hoa đi sứ nước Tề. Thầy Nhiễm Dư vì mẹ của ông xin thóc.
子曰：與之釜。請益，曰：與之庾。冉子與之粟五秉。	Đức Khổng tử nói: “Cấp cho một hũ.” Xin thêm. Ngài nói: “Cấp cho một dũ.” Nhiễm Dư cấp cho năm bỉnh thóc.
子曰：赤之適齊也，乘肥馬，衣輕裘。	Đức Khổng tử nói: “Trò Xích đi đến nước Tề, cưỡi ngựa mập, mặc áo lông cừu nhẹ.
吾聞之也：君子周急不繼富。	Ta có nghe rằng: Người quân tử chu cấp, không tiếp cho kẻ giàu.”.
原思為之宰，與之粟九百。	Thầy Nguyên Tư làm quan Tể, được cấp cho chín trăm (hộc) thóc.
辭。	Ông khước từ.
子曰：毋！	Đức Khổng tử nói: “Ấy chớ!
以與爾鄰里鄉黨乎！	Lấy để cho bà con xóm làng chứ?”.
子曰：回也，其心三月不違仁，其餘，則日月至焉而已矣。	Đức Khổng tử nói: “Trò Hồi ba tháng lòng không lìa đức nhân, ngoài ra [những người khác] thì được một ngày, một tháng mà thôi.”.
季康子問：仲由可使從政也與？	Quí Khang Tử hỏi: “Thầy Trọng Do có thể khiến theo việc chính trị được chăng?”.
子曰：由也果，於從政乎何有？	Đức Khổng tử nói: “Do quả cảm, theo việc chính trị thì có sao?”.
曰：賜也可使從政也與？	Lại hỏi: “Thầy Tứ, có thể khiến theo việc chính trị được chăng?”.
曰：賜也達，於從政乎何有？	Trả lời: “Tứ thông hiểu sự lý, theo việc chính trị thì có sao?”.
曰：求也可使從政也與？	Lại hỏi: “Thầy Cầu, có thể khiến theo việc chính trị được chăng?”.
曰：求也藝，於從政乎何有？	Trả lời: “Cầu có tài nghề kỹ thuật, theo việc chính trị thì có sao?”.
季氏使閔子騫為費宰。	Họ Quí mời thầy Mẫn Tử Khiên làm quan Tể ấp Phí.
閔子騫曰：善為我辭焉，如有復我者，則吾必在汶上矣。	Mẫn Tử Khiên nói: “Hãy khéo vì tôi mà tạ từ. Như còn trở lại mời tôi nữa, thì tôi ắt đến ở phía trên sông Vấn thôi.”.
伯牛有疾，子問之。	Thầy Bá Ngưu có bệnh. Đức Khổng tử viếng thăm.
自牖執其手曰：亡之，命矣夫！	Từ cửa sổ, cầm tay thầy mà nói: “Mất thôi, số mệnh đó mà!
斯人也，而有斯疾也！斯人也，而有斯疾也！	Người như thế này mà lại có bệnh thế này! Người như thế này mà lại có bệnh thế này!”.
子曰：賢哉回也！	Đức Khổng tử nói: “Đức hạnh thay trò Hồi!
一簞食，一瓢飲，在陋巷，人不堪其憂，回也不改其樂。	Một giỏ cơm, một bầu nước, ngõ hẹp; người ta không chịu đựng được sự buồn lo ấy, mà trò Hồi thì không đổi niềm vui đó.
賢哉回也！	Đức hạnh thay trò Hồi!”.
冉求曰：非不說子之道，力不足也。	Thầy Nhiễm Cầu nói: “Chẳng phải không vui thích đạo của thầy, [chỉ vì] không đủ sức thôi.”.
子曰：力不足者，中道而廢，今女畫。	Đức Khổng tử nói: “Người không đủ sức thì giữa đường bỏ dở, nay ngươi thì [tự] vạch giới hạn cho mình.”.
子謂子夏曰：女為君子儒，無為小人儒。	Đức Khổng tử bảo thầy Tử Hạ rằng: “Ngươi hãy làm nhà nho quân tử, đừng làm nhà nho tiểu nhân.”.
子游為武城宰。子曰：女得人焉爾乎？	Thầy Tử Du làm quan Tể ấp Võ Thành, Đức Khổng tử nói: “Ngươi có được người nào hợp với ngươi chăng?”.
曰：有澹臺滅明者，行不由徑，非公事，未嘗至於偃之室也。	Thưa: “Có ông Đam Đài Diệt Minh, đi không dùng lối tắt; chẳng phải việc công thì chưa từng đến nhà Yển này.”.
子曰：孟之反不伐，奔而殿，將入門，策其馬，曰：“非敢後也，馬不進也！”	Đức Khổng tử nói: “Ông Mạnh Chi Phản không khoe công, khi thua chạy thì đi sau, sắp vào cửa thành, quất con ngựa của mình mà nói: “Chẳng phải dám ở lại sau, vì con ngựa không tiến lên vậy.”.
