大南寔錄/大南正編列傳初集/卷01。	QUYỂN 1.
帝悼惜不已，諭羣臣曰：“帝為后服期，禮之正也。	Vua thương tiếc không thôi. Dụ các quan rằng Hoàng đế để tang Hoàng hậu một năm, là phải lễ.
朕於宮中行期年喪。”其自皇子以下，議定服制有差。	Trẫm ở trong cung để tang một năm, còn từ Hoàng tử xuống bàn định phép để tang có thứ bậc.
庚戌，成服。命皇四子〈即聖祖仁皇帝〉奉饋奠。	Ngày Canh Tuất làm lễ thành phục, vua sai hoàng tử thứ tư (tức là Thánh Tổ Nhân Hoàng đế) dâng lễ tế điện.
〈聖祖仁皇帝年甫三歲，帝令后養之。	(Thánh Tổ Nhân Hoàng đế tuổi mới lên ba, vua sai Hậu nuôi, Hậu yêu sách phải có khế khoán.
后索契券，帝命黎文悅寫一紙與之。	Vua sai Lê Văn Duyệt viết một tờ giấy đưa cho.
后交宮婢阮氏犁藏守。	Hậu giao cho cung tỳ là Nguyễn Thị Lê cất giữ.
自是聖祖仁皇帝入侍大內，為皇后子。	Từ đấy Thánh Tổ Nhân Hoàng đế, vào hầu ở trong cung làm con của Hoàng hậu.
及皇長子景、皇二子曦、皇三子晙相繼薨逝。后喪，羣臣或議以皇孫旦主祀。帝諭之曰：“皇四子為皇后子，有契在，宜令主祀。國家大事，不可概泥家人禮。”	Đến sau Hoàng trưởng tử là Cảnh, Hoàng nhị là Hi, Hoàng ba là Noãn nối nhau chết đi, đến lúc có tang hậu, các quan hặc có người bàn đem Hoàng tôn Đán giữ việc thừa tự, Vua dụ rằng: Hoàng tử là con của Hoàng hậu, còn có khế khoán ở kia, nên sai làm chủ việc thờ cúng: việc lớn của nước không thể nhất khái câu nệ lễ của nhà mọi người.
阮文誠又以祝文稱謂為難。	Nguyễn Văn Thành lại cho là lời xưng hô trong văn khấn khó nói.
帝曰：“子奉父命以祭其母，名正言順，有何不可！”	Vua bảo rằng: Con phụng mệnh cha để tế mẹ, danh chính ngôn thuận, có gì là không được.
議始定。	Lời nghị mới quyết định).
〉秋七月戊戌，晉諡為簡恭齊孝翼正順元皇后。	Mùa thu, tháng 7, ngày Mậu Tuất, tấn phong tên thụy là Giản Cung Tề Hiến Đức Chính Thuận Nguyên Hoàng hậu.
冊文曰：內治資內相，詩先正始之章；大行受大名，禮重飾終之典。	Sách văn rằng: Trị bên trong nhờ ở người nội tướng, nên Kinh Thi mở đầu là thiên gây nên nền phong hóa; có đức lớn thì nhận danh hiệu lớn nên Kinh Lễ trọng về điểm tôn xưng lúc tống chung.
永懷淑德，宜賁徽稱。	Lâu nhớ đức hay nêu rõ hiệu tốt.
大行皇后宋氏，誕出名家，肅閑義訓，自天配合，與朕修齊。雲雷方屯，風塵協濟。	Đại hành Hoàng hậu Tống thị, con nhà danh giá kính giữ lời dạy. tự trời phối hợp cùng trẫm sửa mình, xếp dặt việc nhà, sấm gió đương lúc gian truân phong trần hợp sức giúp đỡ.
海天艱險，勱相朕躬。羈旅凄凉，承歡母后。夙夜匪懈，儆戒相成。廟社之讎，思與朕復之；黎元之苦，思與朕拯之。	Trời biển gian hiểm cố gắng giúp ta, quê ngư̖i lạnh lùng, kính hầu mẫu hậu, sớm khuya không trễ, răn bảo cùng nhau, nghĩ cùng trẫm báo phục mối thù cho miếu xã; nghĩ cùng trẫm cứu nỗi khổ cho nhân dân. Cho nên trẫm lấy lại được cõi bờ dẹp yên được trong nước, nghĩ đến Hậu lấy hiếu để phụng thờ tổ tiên, lấy kính để tiếp đãi người dưới, nhân đến phi tần, yêu cả con cháu, ra ơn cả thân hiền, để tâm đến cả làng xóm.
肆朕光復輿圖，廓清海宇。	Việc đưa đám Thụy lăng, xót thương hết lòng.
惟后奉先思孝，接下思恭。	Trước sau vẫn một tâm đức, trong ngoài theo về người thân.
逮妃嬪愛均子姓，惠同紳弁。心注閭𨶒，襄事瑞陵，哀戚備至，始終一德。中外歸仁，花甲未週，翟軒遽促，靜思良佐。	Tuổi thọ chưa đầy sáu chục, xe tiên đã vội xa vời.
載舉彝章，是用請命宗廟。茲特遣欽差掌右軍監神策軍謙郡公范文仁為正使、禮部尚書興讓侯范登興為副，捧金冊金寶，晉諡曰簡恭齊孝翼正順元皇后。	Nhớ đến người giúp giỏi, cử hành điển chương thường. Bèn xin mệnh lệnh ở tôn miếu, sai Khâm sai chưởng Hữu quân giám Thần sách quân, Khiêm quận công là Phạm Văn Nhân làm chánh sứ. Lễ bộ thượng thư, Hưng nhượng hầu là Phạm Đăng Hưng làm phó sứ, bưng sách vàng, ấn vàng tấn phong tên thụy là: Giản Cung Tề Hiếu Đức Chính Thuận Nguyên Hoàng hậu.
尚其光受隆稱，昭垂奕葉。	Mong nhận lấy tên hiệu long trọng, để tỏ lâu đời.
於戲！	Than ôi!
行之迹，功之表，禮固宜然；生也榮，死也哀，后其斯諒。	Ghi về việc, nêu về công lễ vẫn nên thế, sống thì vinh, chết thì thương, Hậu nên xét cho.
十四年春正月，帝命禮部議坤元宮祥除之禮。	Năm thứ 14 (1815) mùa xuân, tháng giêng, vua sai bộ Lễ bàn về lễ tiểu tường, đại tường và trừ phục về cung Khôn nguyên.
禮部臣奏言：“《禮記》期之喪，十一月而練，十三月而祥，十五月而禫，禮之正也。	Quan bộ Lễ tâu nói: Theo sách Lễ ký, về tang một năm, 11 tháng thì tế luyện (tiểu tường), 13 tháng thì tế đại tường, 15 tháng thì tế đàm, thế là lễ chính.
梓宮在殯，未應以吉易喪。	Nhưng quan tài còn để quàn, chưa nên đem cát lễ mà đổi áo tang.
謹按喪服小記云，三年而後喪也，必再祭其祭之間，不同辰而除喪，謂以事故未能及辰，治喪中間，練祥必待葬畢再舉，此二祭但其祭之辰，仍作二次舉行，不可同在一辰也。	Kính xét: Thiên tang phục Tiểu ký nói rằng sau ba năm mới làm ma, thì tất phải hai lần tế, trong khoảng hai lần tế ấy không được tế cùng một lúc mà bỏ áo tang, là vì có việc chưa thể sửa việc tang được. Về việc tế luyện (tiểu tường), tế đại tường, tất đợi khi chôn cất rồi, lại cử hành hai lễ tế ấy; nhưng phải tế làm hai lần không được cùng tế một lúc.
小記又云，久而不葬者，惟主喪者不除，其餘以麻終月數者，除喪則已，主喪者不除，謂子於父母，孫於祖父母未葬，不得除衰絰也，麻終月數者，若期緦之親，以至月數足而除，但其服猶必收藏以俟送葬也。	Tiểu ký lại nói rằng: quàn lâu mà chưa chôn, duy có người chủ tang không được bỏ áo tang, còn người khác để tang bằng áo vải gai cứ hết số tháng bỏ áo trở thì thôi. Người chủ tang không được bỏ áo tang là con để tang cho mẹ, cháu để tang ông bà, chưa chôn thì không được bỏ áo sô gai và dây lưng gai. Hết số tháng mặc áo gai như người thân thuộc để tang một năm đến 3 tháng, cứ đủ số tháng thì bỏ áo tang, nhưng áo trở ấy vẫn còn phải thu cất đi, để đợi khi tống táng.
未葬之前，練祥未可行，衰服未可除。經有明文，義當互見。	Thế là khi chưa chôn, lễ tế luyện, tế đại tường chưa thể cử hành được, áo trở chưa được bỏ đi được, kinh có chép rõ ràng nghĩa nên tham khảo.
又按先儒庾蔚之曰服問云，君所主夫人喪，此以尊主卑，不得同以卑主尊，無緣以卑者之未葬，使尊者長服衰絰也。	Lại xét: Tiên Dữu Uất Chi nói rằng: Thiên Phục Vấn có nói "Vua chủ việc tang cho phu nhân", thế là lấy người tôn chủ việc tang cho người ti, không được giống như người ti chủ việc tang của người tôn, không lấy cớ rằng người ti chưa chôn mà để cho người tôn phải mặc áo trở mãi được.
徐乾學亦以庾氏之言為是，是知以尊主卑，雖久而未葬，然服不可不除也。”	Từ Kiều Học cũng cho tới Dữu thị là phải. Thế mới biết là người tôn chủ việc tang cho người ti, tuy lâu chưa táng, nhưng không thể không từ phục vụ được.
帝然之。	Vua cho là phải.
十四年春三月壬寅，葬天授陵玄宮之右。〈屬香茶縣定門社授山，嘉隆十三年初建壽陵，帝用古合陵之制，寶城內玄宮建石椁二，前門砌石為階級，更名天授山。	Năm thứ 14 (1815) mùa xuân tháng 3, ngày Nhâm Dần, chôn ở bên hữu chỗ huyệt lăng Thiên Thọ (thuộc núi Thụ Sơn, xã Định Môn, huyện Hương Trà, năm Gia Long thứ 13 mới dựng phần. Vua dùng phép hợp lăng đời cổ làm hai cái quách đá ở huyệt, chôn trong Bảo Thanh, trước cửa xây đá làm thềm bậc, đổi tên là núi Thiên Thọ).
〉乙巳，安神主于皇仁殿。	Ngày Ất Ty đem thần chủ để ở điện Hoàng Nhân.
明命元年夏六月辛卯，加上尊諡為承天佐聖厚德慈仁簡恭齊孝翼正順元高皇后。	Minh Mạng năm thứ 1 (1820), mùa hạ, tháng sáu, ngày Tân Mão dâng thêm tôn thụy là Thừa Thiên Tá Thánh, Hậu Đức Từ Nhân Giản Cung Tề Hiếu Dực Chính Thuận Nguyên Cao Hoàng hậu.
冊文曰：禮莫大於尊名，孝莫先於述德。永懷懿範，式賁徽稱。	Sách văn rằng: Lễ không gì lớn bằng tôn lấy danh hay; hiếu không gì trước hơn thuật lại đức tốt, nhớ mãi khuôn phép tốt nên tỏ danh hiệu nay.
欽惟皇妣簡恭齊孝翼正順元高皇后慈孝天資，端莊義訓。	Kính nghĩ: Hoàng tỉ, Giản Cung Tề Hiếu Dực Chính Thuận Nguyên Cao Hoàng hậu, từ hiếu trời phú cho, đoan trang giữ lời dạy.
內治相艱難之業，修齊首正王風；上事敦婉順之容，終始克成至孝。	việc nội trợ giúp cơ nghiệp gian nan tu tề trước chính vương hóa, thờ bề trên có dung nghi dịu thuận, trước sau đạo hiếu vẹn tuyền.
母儀之化，被于海宇。	Giáo hóa làm khuôn phép người mẹ khắp thiên hạ.
子育之愛，慶及宮庭。	Tin yêu nuôi nấng mọi người, đến cả phi tần.
雖雲輧先逝於帝鄉，而彤管永垂於壼則。	Tuy xe mây đã sớm đuổi tới cõi tiên, mà đức tốt vẫn lưu nơi cung cấm.
肆藐德初承大統，追崇既述於聖功。惟坤儀上配，乾元纘美，載稽於鉅典。謹率羣臣，請命宗廟。恭奉冊寶，加上尊諡曰承天佐聖厚德慈仁簡恭齊孝翼正順元高皇后。伏惟光膺顯諡，陟配禰宮。	Cho nên quả đức nới nối nghiệp lớn, truy tôn đã thuật lại thánh công, nhưng khôn nghi trên sánh với kiền nguyên (17) nối tốt lại xét theo điển lớn kính cẩn đem các quan xin mệnh lệnh nhà tôn miếu, đem sách ấn dâng thêm tôn thụy là: Thừa Thiên Tá Thánh, Hậu Đức Từ nhân, Giản Cung Tề Hiếu, Dực Chính Thuận Nguyên Cao Hoàng hậu.
於戲！	xin Thái hậu nhận lấy tên thụy vẻ vang, lên phối hưởng ở cung Nễ (18) Than ôi!
敬其所尊，厚載難名於至德；洋乎在上，崇成永迓於繁禧。奉迎聖位升配明成殿。	kính trọng người tôn đức đầy khó hình dung ra dược. Anh linh đầy rẫy. phúc nhiều đón hưởng mãi lâu dài, kính rước thánh vị, lên phối hưởng ở điện Minh Thành.
三年春正月，奉神主合祀于世祖廟。	Năm thứ 3 (1822) mùa xuân, tháng giêng, rước thần chủ hợp thờ ở miếu Thế Tổ.
后仁厚勤儉，慈惠愛人，曩在播越，奉皇太后歷嘗艱險，常親紡績，手裁戎服，以給軍士。	Hậu là người nhân hậu cần kiệm, hiền từ yêu người. Trước kia trong lúc xiêu giạt, phụng dưỡng Hoàng thái hậu nếm trải mọi mùi gian nan hiểm trở, thường thân hành dệt cửi chính tay may lấy áo trận, để cấp cho quân sĩ.
一日，舟行遇賊，帝督軍力戰，后亦援桴鼓之，士卒爭奮，卒敗賊。	Một hôm thuyền đi gặp giặc, vua đốc quân cố sức đánh, Hậu cùng cầm dùi đánh trống, quân lính tranh nhau phấn khởi thành ra đánh được quân giặc.
癸卯初，帝所賜金鎰，后受珍藏之，及天下既定，從容呈進，帝曰：“信金在此，天寔相之，艱難不可忘也，當留之以示子孫。”	Đầu năm Quý Mão (1783), vua cho Hậu dật vàng, Hậu nhận lấy cất đi, kịp khi thiên hạ đã yên định, Hậu thong dong trình dâng. Vua nói rằng: Vàng giữ làm tin đây. thực trời giúp đấy. không thể quên lúc gian nan, vậy nên lưu lại để bảo cho con cháu biết.
后因以賜聖祖仁皇帝。	Hậu nhận lấy dật vàng ấy cho Thánh Tổ Nhân Hoàng đế.
明命元年，聖祖出以示范登興、阮有慎曰：“此乃皇妣播遷日信物，留以遺朕也。”	Minh Mạng năm thứ nhất (1820) Thánh Tổ đem dật vàng ra bảo Phạm Đăng Hưng, Nguyễn Hữu Thận rằng: đấy là vật làm tin của hoàng khảo, khi dời đi xa lưu lại để đưa cho trẫm.
乃命鐫字于金，曰“世祖帝后癸卯播遷辰信物”，尋奉尊藏于奉先殿。	Bèn sai khắc chữ vào dật vàng ròng: "Thế Tổ Đế Hậu Quý Mão bá thiên thời tín vật" (Vật giữ làm tin của Thế Tổ Đế Hậu lúc xiêu dạt đi xa về năm Quý Mão) rồi đem để ở điện Phụng Tiên.
歸國祠今由該隊宋福楚監守，歲支官錢以供祀事。	Đền thừ Quy quốc nay do Cai đội là Tống Phúc Sở coi giữ, hàng năm chi tiền công, để cung việc tế tự.
順天高皇后。順天高皇后陳氏，承天香茶人，壽國公陳興達之女，母黎氏。	Thuận Thiên Cao Hoàng hậu Thuận Thiên Cao Hoàng hậu họ Trần, người ở huyện Hương Trà phủ Thừa Thiên, là con gái Thọ quốc công Trần Hưng Đạt, mẹ là họ Lê.
甲午之變，孝康皇后晦迹安遊，后以名家子進入侍。	Lúc biến loạn năm Giáp Ngọ, Hiếu Khang Hoàng hậu, ẩn nấp ở làng An Du, Hậu là con nhà danh giá, được tiến vào hầu.
戊戌，世祖高皇帝攝政嘉定，使人奉慈駕。	Năm Mậu Tuất(1778) Thế Tổ Cao Hoàng đế nhiế chính ở Gia Định sai người rước từ giá (tức Hiếu Khang Hoàng hậu).
己亥春，后及諸長公主皆從焉。	Mùa xuân năm Kỷ Hợi (1789) Hậu và các Trưởng công chúa đều theo đi.
年十四，進入宮，尋晉左宮嬪，號二妃。	Hậu 14 tuổi được tiến vào cung, rồi tấn phong là Tả cung tần, hiệu là Nhị phi.
辰西賊方熾，乘輿播遷，后每夜焚香祝天，曰：“方今國步斯頻，未有定止。	Khi ấy giặc Tây Sơn đương hăng, Thế Tổ phải xiêu dạt đi xa, Hậu cứ hàng đêm đốt hương khấn trời rằng: "Nay vận nước còn bối rối, chưa có yên định hẳn, may mà sinh con, sợ đương lúc chạy xa này.
幸而生子，恐當此奔播之際，棄之則不忍，攜負相從，又不免主上關懷。如命應有子，願俟天下太平，然後生子，寔惟天之賜也。”	bỏ đi thì không nỡ, bế cõng đi theo, lại không khỏi bận lòng cho chúa thượng; nếu mệnh đáng có con, xin đợi thiên hạ thái bình, rồi sau hãy sinh con thực là trời cho vậy".
