第一回宴桃园豪杰三结义斩黄巾英雄首立功	HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công.
其夜大风忽起。 二更以后，一齐纵火，嵩与儁各引兵攻击贼寨，火焰张天，贼众惊慌，马不及鞍，人不及甲，四散奔走。	Đêm ấy trời nổi cơn gió lớn, vào khoảng canh hai, quân phục kéo vào phóng hỏa, Tung và Tuấn đều dẫn quân đến đánh, khói lửa ngụt trời, quân giặc hoảng sợ, người không kịp mặt giáp, ngựa không kịp thắng yên, xô nhau mà chạy.
杀到天明，张梁、张宝引败残军士，夺路而走。	Đôi bên đánh nhau đến sáng, Trương Lương, Trương Bảo phải dẫn tàn quân cướp đường mà chạy.
忽见一彪军马，尽打红旗，当头来到，截住去路。	Bỗng thấy một toán quân mã kéo toàn cờ đỏ xông ra chặn đường.
为首闪出一将，身长七尺，细眼长髯，官拜骑都尉，沛国谯郡人也，姓曹名操字孟德。	Một tướng đi đầu, mình cao bảy thước, mắt nhỏ râu dài. Viên tướng ấy là ai? Tức là quan kỵ đô úy, người ở Tiên Quận nước Bái, họ Tào tên Tháo, tự xưng là Mạnh Đức.
操父曹嵩，本姓夏侯氏，因为中常侍曹腾之养子，故冒姓曹。	Cha Tào Tháo là Tào Tung, vốn xưa họ Hạ Hầu nhận làm con nuôi quan trung thường thị Tào Đằng, nên đổi theo họ Tào.
曹嵩生操，小字阿瞒，一名吉利。	Tháo tiểu tự là A Man và đặt một tên nữa là Cát Lợi.
操幼时，好游猎，喜歌舞，有权谋，多机变。	Lúc Tháo còn trẻ, thì chỉ thích săn bắn, ham múa hát, nổi tiếng là một tay cơ biến quyền mưu.
操有叔父，见操游荡无度，尝怒之，言于曹嵩。	Người chú Tháo thấy Tháo chơn bời vô độ, giận lắm, bèn mách với Tào Tung.
嵩责操。	Tung trách mắng Tháo.
操忽心生一计，见叔父来，诈倒于地，作中风之状。	Tháo nghĩ ngay một kế, lúc thấy chú đến, giả tảng nằm quay ra đất, làm như trúng phong.
叔父惊告嵩，嵩急视之。 操故无恙。 嵩曰：“叔言汝中风，今已愈乎？”	Chú Tháo thấy vậy cả sợ, chạy đến bảo Tung, Tung vội lại xem, thấy Tháo không có bệnh chi cả, bèn hỏi: - Chú mày nói mày trúng phong, đã khỏi rồi à?
操曰：“儿自来无此病；因失爱于叔父，故见罔耳。”	- Thưa cha, thuở bé đến giờ con có bệnh ấy đâu! Chẳng qua chú con ghét con, cho nên đặt điều ra thế.
嵩信其言。	Tung tưởng thật.
后叔父但言操过，嵩并不听。 因此，操得恣意放荡。	Từ đấy người chú kể tội Tháo, Tung đều không nghe nữa, nhân thể Tháo càng được tự do phóng đãng hơn xưa.
时人有桥玄者，谓操曰：“天下将乱，非命世之才不能济。	Bấy giờ có người tên là Kiều Huyền bảo Tháo rằng: - Thiên hạ sắp loạn, phi có tay tài giỏi hơn đời thì không sao dẹp được loạn.
能安之者，其在君乎？”	Làm được như thế có lẽ chỉ có bác!
南阳何顒见操，言：“汉室将亡，安天下者，必此人也。”	Người đất Nam Dương là Hà Ngung, một hôm trông thấy Tháo cũng tán tụng rằng: - Nhà Hán sắp mất, yên được thiên hạ chắc chỉ có người này!
汝南许劭，有知人之名。 操往见之，问曰：“我何如人？”	Người đất Nhữ Nam là Hứa Thiệu có tiếng là giỏi biết người, Tháo thân đến hỏi: - Như tôi là người thế nào?
劭不答。	Thiệu không trả lời.
又问，劭曰：“子治世之能臣，乱世之奸雄也。”	Tháo hỏi lại lần nữa. Thiệu nói: - Anh là năng thần của đời trị và gian hùng của đời loạn!
操闻言大喜。	Tháo nghe nói cả mừng.
年二十，举孝廉，为郎，除洛阳北部尉。	Năm Tháo hai mươi tuổi thi đỗ hiếu liêm, bổ làm quan lang, sau lại thăng chức đô úy huyện Lạc Dương.
初到任，即设五色棒十余条于县之四门，有犯禁者，不避豪贵，皆责之。	Lúc mới đến nhận chức, Tháo sai treo hơn mười cái roi ngũ sắc ở bốn cửa huyện, không kể hào quý, hễ ai phạm pháp đều không tha.
中常侍蹇硕之叔，提刀夜行，操巡夜拿住，就棒责之。	Chú quan trung thường thị Kiển Thạc vác dao đi đêm, Tháo đi tuần bắt được cũng đem nọc đánh ngay.
由是，内外莫敢犯者，威名颇震。	Bởi thế trong ngoài kinh sợ, không ai dám làm trái phép.
后为顿丘令，因黄巾起，拜为骑都尉，引马步军五千，前来颍川助战。	Sau Tháo được thăng chức lệnh doãn Đốn kỷ. Nhân giặc Khăn Vàng nổi loạn, Tháo lại được thăng làm quan kỵ đô úy, đem năm nghìn quân kỵ mã và bộ binh đến Dĩnh Xuyên giúp đánh.
正值张梁、张宝败走，曹操拦住，大杀一阵，斩首万余级，夺得旗幡、金鼓、马匹极多。	Tình cờ dọc đường, gặp Trương Lương, Trương Bảo thua chạy, Tháo đón đánh một trận kịch liệt, chém giết hơn một vạn người, cướp được cờ, trống, ngựa, khí giới rất nhiều.
张梁、张宝死战得脱。	Lương, Bảo cố chết mới chạy thoát.
操见过皇甫嵩、朱儁，随即引兵追袭张梁、张宝去了。	Tháo vào hội kiến Hoàng Phủ Tung, Chu Tuấn rồi lại dẫn quân đi đuổi Trương Lương, Trương Bảo ngay.
却说玄德引关、张来颍川，听得喊杀之声，又望见火光烛天，急引兵来时，贼已败散。	Nhắc lại Huyền Đức dẫn Quan, Trương đi gần đến Dĩnh Xuyên, nghe tiếng reo hò đánh nhau, lại trông thấy lửa sáng rực trời, vội thúc quân kéo đến, tới nơi giặc đã chạy tan hết rồi.
玄德见皇甫嵩、朱儁，具道卢植之意。	Huyền Đức vào yết kiến Hoàng Phủ Tung. Chu Tuấn lại nói ý kiến của Lư Thực.
嵩曰：“张梁、张宝势穷力乏，必投广宗去依张角。	Tung nói: - Nay Trương Lương, Trương Bảo thế cùng lực kiệt tất chạy đến Quảng Tôn nương nhờ Trương Giác.
玄德可即星夜往助。”	Ông nên đi gấp đường về giúp ngay Lư Thực.
玄德领命，遂引兵复回。	Huyền Đức nghe lời, dẫn quân trở lại.
到得半路，只见一簇军马，护送一辆槛车，车中之囚，乃卢植也。	Khi mới đi được nửa đường, gặp một toán người ngựa, áp giải một xe tù, trên xe có một cái cũi nhốt một người tù, tế ra chính là Lư Thực.
玄德大惊，滚鞍下马，问其缘故。	Huyền Đức giật mình kinh hãi, vội xuống ngựa chạy đến hỏi thăm.
植曰：“我围张角，将次可破；因角用妖术，未能即胜。	Thực nói: - Ta vây đánh Trương Giác, sắp sửa pháp tan, chỉ vì Giác dùng yêu thuật, nên còn nhùng nhằng chưa phá hẳn được.
朝廷差黄门左丰前来体探，问我索取贿赂。	Triều đình sai viên hoạn quan tên là Tả Phong đến dò xét quân tình.
我答曰：‘军粮尚缺，安有余钱奉承天使？’ 左丰挟恨，回奏朝廷，说我高垒不战，惰慢军心；因此朝廷震怒，遣中郎将董卓来代将我兵，取我回京问罪。”	Phong đòi ăn của đút mà không được, vì lương quân ta còn thiếu, tiền đâu mà cung đốn họ, bởi thế Tả Phong căm giận, về triều tâu man cho ta ru rú ở trong lũy cao không chịu đánh giặc, làm cho lòng quân chán nản. Triều đình nổi giận, sai quan trung lang tướng Đổng Trác đến cầm quân thay ta, và bắt ta về kinh hỏi tội.
张飞听罢，大怒，要斩护送军人，以救卢植。	Trương Phi nghe nói, nổi giận đùng đùng, toan giết hết toán quân áp giải để cứu Lư Thực.
玄德急止之曰：“朝廷自有公论，汝岂可造次？”	Huyền Đức vội ngăn lại bảo rằng: - Không nên, triều đình đã có công luận, chú không được xử sự một cách nóng nảy như thế.
军士簇拥卢植去了。	Quân sĩ lại giải Lư Thực đi.
关公曰：“卢中郎已被逮，别人领兵，我等去无所依，不如且回涿郡。”	Quan Công nói: - Nay Lư trung lang đã bị bắt, người khác thay quyền, chúng ta đến đấy cũng vô ích, chi bằng hãy về Trác quận.
玄德从其言，遂引军北行。	Huyền Đức lấy làm phải, bèn dẫn quân về phía bắc.
行无二日，忽闻山后喊声大震。	Đi được hai ngày, bỗng nghe sau núi có tiếng đánh nhau hò hét.
玄德引关、张纵马上高冈望之，见汉军大败，后面漫山塞野，黄巾盖地而来，旗上大书“天公将军”。	Huyền Đức cùng Quan, Trương cưỡi ngựa lên đồi cao trông xem, thấy quân Hán bị thua đương chạy, giặc khăn vàng đông như kiến cỏ đương đuổi theo sau, trên lá cờ viết bốn chữ "Thiên công tướng quân" rất lớn.
玄德曰：“此张角也！ 可速战！”	Huyền Đức nói: - Trương Giác đây rồi, đánh ngay đi!
三人飞马引军而出。	Ba người đều phi ngựa dẫn quân ra đánh.
张角正杀败董卓，乘势赴来，忽遇三人冲杀，角军大乱，败走五十余里。	Lúc ấy Trương Giác đương thừa thắng đuổi Đổng Trác, bỗng gặp ba người đem quân chẹn đánh, quân Giác hoảng loạn, phải thua chạy đến ngoài năm mươi dặm.
三人救了董卓回寨。	Ba người cứu được Đổng Trác về trại.
卓问三人现居何职。	Trác hỏi ba người hiện làm quan gì?
玄德曰：“白身。” 卓甚轻之，不为礼。	Huyền Đức nói: "Chân trắng" Trác khinh thường, không thèm đáp tạ lại. Huyền Đức bỏ đi.
玄德出，张飞大怒曰：“我等亲赴血战，救了这厮，他却如此无礼。 若不杀之，难消我气！”	Trương Phi cả giận nói rằng: - Thằng cha này láo quá! Chúng ta lăn lộn vào đất chết để cứu nó ra, nó không ơn thì chớ, lại còn làm phách khinh người đến thế, nếu không giết nó, sao hả được giận này?
便要提刀入帐来杀董卓。	Bèn cầm dao vào trướng định giết Đổng Trác.
正是：人情势利古犹今，谁识英雄是白身？ 安得快人如翼德，尽诛世上负心人！	Đó chính là: Nhân tình thế thái vẫn xưa nay, Ai biết anh hùng lúc trắng tay, Nếu được người người như Dực Đức, Trên đời hẳn hết kẻ không hay!
毕竟董卓性命如何，且听下文分解。	Muốn biết tính mạng Đổng Trác thế nào, xem hồi sau sẽ rõ.
第二回张翼德怒鞭督邮何国舅谋诛宦竖	HỒI 2 Trương Dực Đức giận đánh đốc bưu; Hà Quốc Cửu mưu giết quan hoạn
且说董卓字仲颖，陇西临洮人也，官拜河东太守，自来骄傲。	Trác tên chữ là Trọng Dĩnh, quê ở huyện Lâm Thao, quận Lũng Tây, làm quan thái thú ở Hà Đông, xưa nay vốn tính kiêu ngạo.
当日怠慢了玄德，张飞性发，便欲杀之。	Lúc ấy vì khinh Huyền Đức nên Trương Phi nổi nóng muốn vào giết ngay.
玄德与关公急止之曰；“他是朝廷命官，岂可擅杀？”	Huyền Đức, Quan Công vội ngăn mà rằng: - Không nên, hắn là quan triều đình, em chớ nên tự tiện giết hắn!
飞曰：“若不杀这厮，反要在他部下听令，其实不甘！	Phi nói: - Nếu không giết nó, mà lại ở đây làm đầy tớ cho nó sai khiến, thì tôi không thể chịu được!
二兄要便住在此，我自投别处去也！”	Nếu hai anh muốn ở đây thì tôi xin đi ngay nơi khác.
玄德曰：“我三人义同生死，岂可相离？	Huyền Đức nói: - Ba anh em ta kết nghĩa cùng sống chết, sao nỡ lìa nhau?
不若都投别处去便了。”	Thôi cùng đi nơi khác là hơn cả.
飞曰：“若如此，稍解吾恨。”	Phi nói: - Có thế thì cái tức này mới hơi hả.
于是三人连夜引军来投朱儁。	Ngay đêm ấy ba người dẫn quân đến với Chu Tuấn.
儁待之甚厚，合兵一处，进讨张宝。	Tuấn khoản đãi rất hậu. Cùng nhau họp quân, tiến đánh Trương Bảo.
是时曹操自跟皇甫嵩讨张梁，大战于曲阳。	Bấy giờ Tào Tháo đương theo Hoàng Phủ Tung đánh Trương Lương, hai bên đánh nhau một trận to ở Khúc Dương.
这里朱儁进攻张宝。 张宝引贼众八九万，屯于山后。	Bên này Chu Tuấn tiến đánh Trương Bảo, Bảo dẫn tám chín vạn quân đóng ở mé sau núi.
儁令玄德为其先锋，与贼对敌。	Tuấn sai Huyền Đức dẫn đội tiên phong ra đối địch với giặc.
张宝遣副将高升出马搦战，玄德使张飞击之。	Trương Bảo sai phó tướng Cao Thăng phi ngựa ra thách đánh, Huyền Đức sai Trương Phi cự với Cao Thăng.
飞纵马挺矛，与升交战，不数合，刺升落马。	Phi phóng ngựa cầm mâu cùng Thăng giao chiến, chưa được vài hiệp đã đâm Thăng ngã ngựa.
玄德麾军直冲过去。 张宝就马上披发仗剑，作起妖法。 只见风雷大作，一股黑气从天而降，黑气中似有无限人马杀来。 玄德连忙回军，军中大乱。	Huyền Đức thúc quân xông lên, Trương Bảo ngồi trên ngựa xõa tóc múa gươm, giở yêu thuật, phút chốc gió ầm ầm, một luồng khí đen tự trên không tỏa xuống, trong luồng khí đen có vô số người ngựa xông ra, quân Huyền Đức sợ hãi rối loạn, Huyền Đức vội vàng thu quân về, cùng Chu Tuấn bàn mưu định kế.
败阵而归，与朱儁计议。	
儁曰：“彼用妖术，我来日可宰猪羊狗血，令军士伏于山头；候贼赶来，从高坡上泼之，其法可解。”	Tuấn nói: - Nó dùng yêu thuật thì ta phá cũng dễ. Ngày mai nên sai quân chứa sẵn máu lợn máu chó, máu dê phục ở trên núi, đợi quân giặc kéo đến, đứng trên vẩy xuống, tự khắc giải được phép yêu.
