第五回发矫诏诸镇应曹公破关兵三英战吕布	HỒI 5 Phát hiệu triệu, các trấn hưởng ứng Tào Công; Phá cửa quan, ba anh hùng đánh Lã Bố
瓒曰：“跟随刘玄德充马弓手。”	Toản thưa: - Vũ theo Huyền Đức làm tay bắn cung.
帐上袁术大喝曰：“汝欺吾众诸侯无大将耶？	Viên Thuật ở trong trướng thét lên: - Thằng này là thằng nào! Mà dám khinh chư hầu chúng tao không có đại tướng hay sao?
量一弓手，安敢乱言！	Thứ mày là một thằng cung thủ, mà dám nói khoác à?
与我打出！”	Chúng đâu, đuổi cổ nó ra ngoài kia!
曹操急止之曰：“公路息怒。	Tào Tháo vội ngăn rằng: - Công Lộ hãy nguôi cơn giận.
此人既出大言，必有勇略；试教出马，如其不胜，责之未迟。”	Người ấy đã nói mạnh thế, chắc là có dũng lực. Xin hãy thử cho ra, hễ không đánh được, ta sẽ trị tội.
袁绍曰：“使一弓手出战，必被华雄所笑。”	Viên Thiệu nói: - Sai một tay bắn cung ra đánh, giặc nó có cười cho không?
操曰：“此人仪表不俗，华雄安知他是弓手？”	Tào Tháo nói: - Người ấy diện mạo oai vệ thế kia. Hoa Hùng biết đâu là tay bắn cung.
关公曰：“如不胜，请斩某头。”	Quan Công nói: - Nếu tôi không đánh được, xin chặt đầu tôi đi!
操教酾热酒一杯，与关公饮了上马。	Tháo sai người rót chén rượu, đưa Quan Công uống trước khi đi.
关公曰：“酒且斟下，某去便来。”	Quan Công nói: - Xin hãy để chén rượu đấy, tôi đi rồi về ngay!
出帐提刀，飞身上马。	Nói rồi đi ra, vác long đao nhảy lên lưng ngựa.
众诸侯听得关外鼓声大振，喊声大举，如天摧地塌，岳撼山崩，众皆失惊。正欲探听，鸾铃响处，马到中军，云长提华雄之头，掷于地上。其酒尚温。	Được một lát chư hầu nghe thấy ngoài cửa quan tiếng trống đánh, tiếng người reo ầm ầm, tựa hồ như trời long đất lở, núi đổ non nghiêng, ai nấy đều thất kinh đang định sai người ra xem, thì đã thấy tiếng nhạc nhong nhong trở về, ngựa đã vào tới trung quân. Quan Công cầm đầu Hoa Hùng ném xuống đất, chén rượu của Tào Tháo đưa hãy còn nóng.
后人有诗赞之曰：“威镇乾坤第一功，辕门画鼓响冬冬。云长停盏施英勇，酒尚温时斩华雄。”	Đời sau có thơ khen rằng: Uy Vũ lừng danh đệ nhất công Nha môn trống trận nổi thùng thùng Chén rượu rót ra còn nóng hổi, Vân Trường đã chém chết Hoa Hùng.
曹操大喜。	Tào Tháo mừng lắm.
只见玄德背后转出张飞，高声大叫：“俺哥哥斩了华雄，不就这里杀入关去，活拿董卓，更待何时！”	Lúc ấy, Trương Phi ở sau lưng Lưu Bị mới chạy ra nói to lên rằng: - Đại ca đã chém chết được Hoa Hùng, sao không nhân thể đánh thốc vào cửa quan, bắt sống lấy Đổng Trác, còn đợi đến bao giờ?
袁术大怒，喝曰：“俺大臣尚自谦让，量一县令手下小卒，安敢在此耀武扬威！	Viên Thuật giận quát mắng rằng: - Thằng láo! Đại thần của chúng tao đây còn phải khiêm tốn, thứ mày là tiểu tốt của một quan huyện, sao dám hỗn xược ở đây?
都与赶出帐去！”	Đuổi cả chúng nó ra ngoài kia.
曹操曰：“得功者赏，何计贵贱乎？”	Tào Tháo nói: - Ai có công thì thưởng, cứ gì quý với tiện!
袁术曰：“既然公等只重一县令，我当告退。”	Viên Thuật nói: - Có phải các ông chỉ trọng một người huyện lệnh thì tôi xin cáo thoái.
操.曰：“岂可因一言而误大事耶？”	Tháo nói: - Sao lại vì một lời nói, mà bỏ việc lớn?
命公孙瓒且带玄德、关、张回寨。	Nói thế rồi Tháo bảo Công Tôn Toản hãy mời các ông ấy về trại.
众官皆散。	Chư hầu tan, người nào về trại người ấy.
曹操暗使人赍牛酒抚慰三人。	Tháo mật sai người đem trâu và rượu đưa sang mừng và úy lạo ba anh em Lưu, Quan, Trương.
却说华雄手下败军，报上关来。	Quân Hoa Hùng thua, chạy về cửa quan báo Lý Túc.
李肃慌忙写告急文书，申闻董卓。卓急聚李儒、吕布等商议。儒曰：“今失了上将华雄，贼势浩大。	Túc vội vàng viết giấy báo Đổng Trác, Trác họp các quan lại bàn, Lý Nho nói: - Nay ta mất thượng tướng Hoa Hùng, thế giặc to lắm.
袁绍为盟主，绍叔袁隗，现为太傅；倘或里应外合，深为不便，可先除之。	Viên Thiệu là minh chủ, có chú là Viên Ngỗi hiện đang làm thái phó, nếu chúng trong ngoài tiếp ứng cho nhau thì nguy lắm, ta nên trừ trước đi.
请丞相亲领大军，分拨剿捕。”	Xin thừa tướng thân cầm đại quân, chia đường ra đánh thì mới được.
卓然其说，唤李催、郭汜领兵五百，围住太傅袁隗家，不分老幼，尽皆诛绝，先将袁隗首级去关前号令。	Trác nghe lời Nho, gọi Lý Thôi, Quách Dĩ, lĩnh năm trăm quân đến vây nhà thái phó Viên Ngỗi, già trẻ đều giết sạch, rồi đem đầu Ngỗi ra bêu trước cửa quan.
卓遂起兵二十万，分为两路而来：一路先令李傕、郭汜引兵五万，把住汜水关，不要厮杀；卓自将十五万，同李儒、吕布、樊稠、张济等守虎牢关。这关离洛阳五十里。军马到关，卓令吕布领三万军，去关前扎住大寨。卓自在关上屯住。	Trác khởi hai mươi vạn quân chia làm hai đường, một đường sai Lý Thôi, Quách Dĩ, đem năm vạn quân ra giữ cửa Dĩ Thủy, không đánh nhau vội; một đường thì Trác đem mười lăm vạn quân cùng với Lý Nho, Lã Bố, Phàn Trù, Trương Tế giữ cửa quan Hổ Lao, Trác sai Lã Bố lĩnh ba mươi vạn quân ra trước quan, đóng một trại lớn; Trác thì đóng đồn trên cửa quan.
流星马探听得，报入袁绍大寨里来。	Quân lưu tinh dò được tình hình, kíp vào trại Viên Thiệu báo.
绍聚众商议。	Thiệu họp các tướng lại bàn.
操曰：“董卓屯兵虎牢，截俺诸侯中路，今可勒兵一半迎敌。”	Tháo nói: - Đổng Trác đóng quân ở Hổ Lao, là cốt chẹn đường chư hầu. Nay nên chia quân ra, một nửa ra đó nghênh địch.
绍乃分王匡、乔瑁、鲍信、袁遗、孙融、张杨、陶谦、公孙瓒八路诸侯，往虎牢关迎敌。	Thiệu bèn cắt Vương Khuông, Kiều Mạo, Pháo Tín, Viên Dị, Khổng Dung, Trương Dương, Đào Khiêm, Công Tôn Toản cả thảy tám vị chư hầu đến cửa Hổ Lao đón địch.
操引军往来救应。	Tào Tháo thì dẫn quân đi lại tiếp ứng.
八路诸侯，各自起兵。河内太守王匡，引兵先到。	Chư hầu đều khởi binh đến, thái thú Vương Khuông đi trước.
吕布带铁骑三千，飞奔来迎。	Lã Bố đem năm nghìn quân thiết kỵ lại.
王匡将军马列成阵势，勒马门旗下看时，见吕布出阵：头戴三叉束发紫金冠，体挂西川红锦百花袍，身披兽面吞头连环铠，腰系勒甲玲珑狮蛮带；弓箭随身，手持画戟，坐下嘶风赤兔马：果然是“人中吕布，马中赤兔”！	Vương Khuông đem quân mã, bày thành thế trận, cưỡi ngựa đứng dưới cửa cờ, trông thấy Lã Bố ra trận mình mặc áo gấm đỏ trăm hoa, ngoài khoác áo giáo thú diện liên hoàn; dưới thắt dây lưng sư man, lưng đeo một bộ cung tên; tay cầm một ngọn họa kích, cưỡi ngựa xích thố.
王匡回头问曰：“谁敢出战？”	Khuông ngoảnh lại hỏi ai dám ra đánh?
后面一将，纵马挺枪而出。匡视之，乃河内名将方悦。	Đằng sau có một tướng vác ngọn giáo, tế ngựa chạy ra; đó là một danh tướng ở Hà Nội, tên là Phương Duyệt.
两马相交，无五合，被吕布一戟刺于马下，挺戟直冲过来。	Hai ngựa giao nhau, chưa được năm hiệp, Duyệt bị Lã Bố đánh một ngọn kích ngã xuống ngựa. Bố xông thẳng vào.
匡军大败，四散奔走。	Quân Vương Khuông thua to, chạy tán loạn ra bốn mặt.
布东西冲杀，如入无人之境。	Bố xông xáo vào đám quân Khuông, như chạy vào nơi không người.
幸得乔瑁、袁遗两军皆至，来救王匡，吕布方退。	May sao Kiều Mạo, Viên Di đem hai cánh quân vừa đến, cứu được Vương Khuông, quân Bố mới lui.
三路诸侯，各折了些人马，退三十里下寨。	Chư hầu ba xứ mỗi xứ mất ít nhiều người ngựa, lui ba mươi dặm, đóng trại.
随后五路军马都至，一处商议，言吕布英雄，无人可敌。	Quân năm xứ đi sau cũng dần dần kéo cả đến, họp lại bàn nhau, đều cho Lã Bố là anh hùng, không ai địch nổi.
正虑间，小校报来：“吕布搦战。”	Khi đang lo nghĩ thì có quân vào báo rằng Lã Bố đến khiêu chiến.
八路诸侯，一齐上马。军分八队，布在高冈。遥望吕布一簇军马，绣旗招飐，先来冲阵。	Chư hầu tám xư đều lên ngựa kéo ra cả, chia quân ra làm tám đội ở trên gò cao; trông ở đằng xa thấy một toán quân mã, cờ bay phất phới; Lã Bố xông đến.
上党太守张杨部将穆顺，出马挺枪迎战，被吕布手起一戟，刺于马下。	Bộ tướng của Trương Dương, thái thú Thượng Đẳng tên là Mục Thuận vác ngọn giáo tế ngựa ra đánh, bị Bố đâm một ngọn kích chết lăn từ trên ngựa xuống đất.
众大惊。	
北海太守孔融部将武安国，使铁锤飞马而出。吕布挥戟拍马来迎。战到十余合，一戟砍断安国手腕，弃锤于地而走。	Thấy thế, một bộ tướng của Khổng Dung, tên là Vũ An Quốc, vác một cái dùi sắt, tế ngựa chạy ra, Lã Bố đến, đánh nhau được mười hiệp, Bố đưa một ngọn kích đánh gãy cánh tay An Quốc. An Quốc vứt dùi sắt chạy.
八路军兵齐出，救了武安国。	Chư hầu tám xứ cùng đổ ra mới cứu được An Quốc.
吕布退回去了。众诸侯回寨商议。	Lã Bố lui quân trở về, các chư hầu lại về trại bàn với nhau.
曹操曰：“吕布英勇无敌，可会十八路诸侯，共议良策。	Tào Tháo nói: - Lã Bố anh hùng, không địch được. Nay nên họp cả mười tám nước chư hầu để bàn nhau tìm kế gì đánh được nó.
若擒了吕布，董卓易诛耳。”	Hễ bắt sống được Lã Bố, thì giết Đổng Trác chẳng khó gì nữa!
正议间，吕布复引兵搦战。	Trong khi đang bàn bạc, Lã Bố lại kéo quân đến thách đánh.
八路诸侯齐出。公孙瓒挥槊亲战吕布。战不数合，瓒败走。	Công Tôn Toản vác ngọn giáo nhảy ra đánh Lã Bố, mới được vài hiệp, Toản thua chạy.
吕布纵赤兔马赶来。那马日行千里，飞走如风。	Lã Bố thúc ngựa xích thố xấn lại đuổi, ngựa này chạy nhanh như bay.
看看赶上，布举画戟望瓒后心便刺。傍边一将，圆睁环眼，倒竖虎须，挺丈八蛇矛，飞马大叫：“三姓家奴休走！	Bố gần đuổi kịp Toản thì ở bên rìa đường, bỗng có một tướng, mắt tròn trợn ngược, râu hùm vểnh lên vác một ngọn bát xà mâu, tế ngựa đến thét lên rằng: - Thằng ở ba họ kia đừng chạy nữa!
燕人张飞在此！”	Có Trương Phi người đất Yên đây!
吕布见了，弃了公孙瓒，便战张飞。	Lã Bố thấy thế bỏ Toản, đánh nhau với Trương Phi.
飞抖擞精神，酣战吕布。	Trương Phi hăng hái cố đánh Lã Bố.
连斗五十余合，不分胜负。	Hai người đánh nhau được hơn năm mươi hiệp chưa rõ bên nào thua bên nào được.
云长见了，把马一拍，舞八十二斤青龙偃月刀，来夹攻吕布。	Quan Công đứng ngoài thấy thế cũng múa thanh long đao nặng tám mươi hai cân đến cùng đánh.
三匹马丁字儿厮杀。战到三十合，战不倒吕布。	Ba con ngựa đứng dàn kiểu chữ đinh, đánh nhau được ba mươi hiệp nữa hai người cũng vẫn không hạ được Lã Bố.
刘玄德掣双股剑，骤黄鬃马，刺斜里也来助战。	Lưu Bị bấy giờ cũng cầm đôi gươm tế ngựa chạy vào đánh giúp.
这三个围住吕布。转灯儿般厮杀。	Ba người vây tròn lấy Lã Bố đánh chẳng khác gì quân đèn cù.
八路人马，都看得呆了。	Binh mã tám xứ ngây mặt ra trông.
吕布架隔遮拦不定，看着玄德面上，虚刺一戟，玄德急闪。	Lã Bố cố sức chống đỡ không nổi, bèn nhắm giữa mặt Lưu Bị phóng vờ một ngọn kích. Lưu Bị tránh được.
吕布荡开阵角，倒拖画戟，飞马便回。	Lã Bố mở góc của trận, cắp đao ngược kích, phi ngựa chạy về.
三个那里肯舍，拍马赶来。八路军兵，喊声大震，一齐掩杀。	Ba người thúc ngựa xấn vào; quân mã tám xứ đều reo ầm lên, xô cả ra đánh.
吕布军马望关上奔走；玄德、关、张随后赶来。	Quân Lã Bố chạy về trên cửa Hổ Lao. Ba người theo sau đuổi mãi.
古人曾有篇言语，单道着玄德、关、张三战吕布：“汉朝天数当桓灵，炎炎红日将西倾。	Cổ nhân, có người làm bài ca kể chuyện Lưu Bị, Quan, Trương đánh Lã Bố rằng: Vận Hán đến Hoàn Linh suy thế, Vầng thái dương đã xế về đoài.
奸臣董卓废少帝，刘协懦弱魂梦惊。	Gian thần Đổng Trác ra oai, Phế vua; Lưu Hiệp rụng rời thất kinh.
曹操传檄告天下，诸侯奋怒皆兴兵。	Hịch Tào Tháo truyền nhanh các trấn, Chư hầu cùng nổi giận dấy binh.
议立袁绍作盟主，誓扶王室定太平。	Bản Sơ thủ lãnh đồng minh, Thề nhau giúp Hán yên bình non sông.
温侯吕布世无比，雄才四海夸英伟。	Kia Lã Bố anh hùng ai sánh, Khắp mọi người dũng mãnh nào bằng?
护躯银铠砌龙鳞，束发金冠簪雉尾。	Áo ngoài giáp bạc sáng choang, Đầu trên nhấp nhoáng mũ vàng ngù bông.
参差宝带兽平吞，错落锦袍飞凤起。	Mặt thú dữ trập trùng bảo đái, Cánh phượng bay phấp phới cấm bào.
龙驹跳踏起天风，画戟荧煌射秋水。	Vó câu gió chạy ào ào, Kích hoa sáng quắc soi vào nước trong.
出关搦战谁敢当？	Ra cửa ải tranh hùng ai dám?
诸侯胆裂心惶惶。	Các chư hầu thất đảm kinh hồn.
踊出燕人张冀德，手持蛇矛丈八枪。虎须倒竖翻金线，环眼圆睁起电光。	Trương Phi nhảy vọt ra liền, Xà mâu một ngọn trận tiền gương uy; Vểnh râu hổ gầm ghì thét mắng, Xoe mắt tròn lóng lánh lân la.
