第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
却说赵云自四更时分，与曹军厮杀，往来冲突，杀至天明，寻不见玄德，又失了玄德老小，云自思曰：“主公将甘、糜二夫人与小主人阿斗，托付在我身上；今日军中失散，有何面目去见主人？	Lại nói, từ lúc canh tư Triệu Vân cự nhau với quân Tào, đi lại xông xáo, đánh vừa đến sáng, tìm không thấy Huyền Đức, lại bỏ lạc cả gia quyến Huyền Đức. Vân nghĩ bụng rằng: - Chủ ta đã đem Cam, My hai phu nhân cùng A Đẩu ủy thác cho ta, nay lạc mất cả, ta cònmặt nào trông thấy chủ nữa.
不如去决一死战，好歹要寻主母与小主人下落！”	Chi bằng ta liều chết đánh giặc, cứu cho được hai phu nhân và A Đẩu.
回顾左右，只有三四十骑相随。 云拍马在乱军中寻觅，二县百姓号哭之声震天动地；中箭着枪抛男弃女而走者不计其数。	Vân nhìn lại tả hữu thì chỉ còn có ba bốn mươi quân kỵ mã đi theo, Vân tế ngựa vào trong đám loạn quân tìm kiếm, dân hai huyện kêu khóc như ri, người trúng tên, kẻ bị đâm, bỏ cả con cái, anh em, chạy tán loạn.
赵云正走之间，见一人卧在草中，视之，乃简雍也。	Vân đương đi, thấy có một người nằm trên bãi cỏ, trông xem thì là Giản Ung.
云急问曰：“曾见两位主母否？”	Vân vội hỏi: - Có thấy hai chúa mẫu đâu không?
雍曰：“二主母弃了车仗，抱阿斗而走。 我飞马赶去，转过山坡，被一将刺了一枪，跌下马来，马被夺了去。	Ung nói: - Hai phu nhân bỏ cả xe, ôm A Đẩu mà chạy; ta tế ngựa chạy theo, đi qua sườn núi, chẳng may bị một tướng đâm nhát kích ngã nhào, ngựa bị cướp mất, ta khong lấy lại được, nên chịu nằm đây.
我争斗不得，故卧在此。” 云乃将从骑所骑之马，借一匹与简雍骑坐；又着二卒扶护简雍先去报与主人：“我上天入地，好歹寻主母与小主人来。 如寻不见，死在沙场上也！”	Vân bảo lính nhường ngựa cho Giản Ung cưỡi, và đỡ Ung đi trước, nhờ báo với chủ nhân rằng: "Tôi dù lên trời, xuống đất, thế nào cũng quyết tìm cho được hai phu nhân và A Đẩu; bằng không tìm thấy, xin chết trên bãi chiến trường!"
说罢，拍马望长坂坡而去。 忽一人大叫：“赵将军那里去？”	Nói xong tế ngựa chạy thẳng về phía gò Trường Bản chợt thấy một người gọi ta rằng: - Triệu tướng quân đi đâu thế?
云勒马问曰：“你是何人？”	Vân dừng ngựa lại hỏi: - Ngươi là ai?
答曰：“我乃刘使君帐下护送车仗的军士，被箭射倒在此。”	Người ấy đáp: - Tôi là lính hầu của Lưu sứ quân, sai đi hộ tống xa trượng, bị tên lăn xuống đây.
赵云便问二夫人消息。	Vân hỏi luôn tin tức hai phu nhân,
军士曰：“恰才见甘夫人披头跣足，相随一伙百姓妇女，投南而走。”	tên lính nói: - Mới rồi thấy Cam phu nhân xõa tóc đi chân không theo một lũ đàn bà con gái thường dân chạy ở phía nam.
云见说，也不顾军士，急纵马望南赶去。 只见一伙百姓，男女数百人，相携而走。”	Vân nghe xong không hỏi gì nữa, tế ngựa theo phía nam đi tìm, thấy một đám đông dân chúng chừng vài trăm người, vừa đàn ông, vừa đàn bà đang chạy tất tả.
云大叫曰：“内中有甘夫人否？”	Vân gọi to lên rằng: - Trong đám có Cam phu nhân không?
夫人在后面望见赵云，放声大哭。	Phu nhân đi cuối cùng, trông thấy triệu Vân, òa lên khóc.
云下马插枪而泣曰：“使主母失散，云之罪也。	Vân xuống ngựa, bỏ giáo, khóc mà rằng: - Để cho chủ mẫu thất lạc, chính là tội Vân...
糜夫人与小主人安在？”	My phu nhân cùng ấu chúa đâu rồi?
甘夫人曰：“我与糜夫人被逐，弃了车仗，杂于百姓内步行，又撞见一枝军马冲散。	Cam phu nhân nói: - Ta cùng với My phu nhân bị giặc đuổi, bỏ cả xe cộ, lẩn vào đám thường dân, lại gặp một toán quân mã xô vào.
糜夫人与阿斗不知何往。 我独自逃生至此。	My phu nhân cùng A Đẩu không biết lạc vào đâu, duy chỉ có một mình ta trốn chạy đến đây.
正言间，百姓发喊，又撞出一枝军来。 赵云拔枪上马看时，面前马上绑着一人，乃糜竺也。 背后一将，手提大刀，引着千余军。	Đương nói chuyện lại thấy dân chúng kêu khóc ầm lên, nhìn ra thấy một người bị trói trên lưng ngựa, chính là My Chúc, theo sau, một tướng tay cầm mã tấu, dẫn thêm một nghìn quân tên là Thuần Vu Đạo, là bộ tướng của Tào Nhân.
乃曹仁部将淳于导，拿住糜竺，正要解去献功。	Đạo bắt được My Chúc đem nộp để lấy công.
赵云大喝一声，挺枪纵马，直取淳于导。	Triệu Vân quát to một tiếng, tế ngựa xông tới.
导抵敌不住，被云一枪刺落马下，向前救了糜竺，夺得马二匹。 云请甘夫人上马，杀开条大路，直送至长坂城。	Đạo không địch nổi, bị Vân đâm một giáo chết. Vân cứu được My Chúc, lấy được đôi ngựa, mời Cam phu nhân cưỡi, đánh giết mở một con đường đi thẳng đến gò Trường Bản.
只见张飞横矛立马于桥上，大叫：“子龙！ 你如何反我哥哥？”	Đến nơi, chỉ thấy Trương Phi cưỡi ngựa đứng trên cầu, cầm ngang ngọn mâu gọi to rằng: - Tử Long Sa dám phản anh ta?
云曰：“我寻不见主母与小主人，因此落后，何言反耶？”	Vân nói: - Ta còn tìm chưa thấy chủ mẫu và A Đẩu, nên rớt lại sau, sao lại bảo là phản?
飞曰：“若非简雍先来报信，我今见你，怎肯干休也！”	Phi nói: - Nếu không có Giản Ung cho biết trước thì ta không làm ngơ đâu!
云曰：“主公在何处？”	Vân hỏi: - Chúa công đâu?
飞曰：“只在前面不远。”	Phi đáp: - Ở ngay phía trước kia, cách đây không xa.
云谓糜竺曰：“糜子仲保甘夫人先行，待我仍往寻糜夫人与小主人去。”	Vân bảo My Chúc rằng: - My Tử Trọng hãy bảo vệ Cam phu nhân đi trước để ta đi tìm nốt My phu nhân và ấu chúa đã.
言罢，引数骑再回旧路。	Nói xong, dfẫn vài quân kỵ mã theo lối cũ trở lại.
正走之间，见一将手提铁枪，背着一口剑，引十数骑跃马而来。	Đương chạy, gặp một tướng tay cầ giáp sắt, lưng đeo gươm, dẫn vài chục quân kỵ tế ngựa đến.
赵云更不打话，直取那将。	Triệu Vân chẳng nói chẳng rằng, xốc tới đánh luôn.
交马只一合，把那将一枪刺倒，从骑皆走。	Mới được một hiệp, Vân đâm chết mấy tướng ấy, quân đi theo chạy tan cả.
原来那将乃曹操随身背剑之将夏侯恩也。	- Nguyên tướng đó là Hạ Hầu Ân, cận vệ đeo gươm của Tào Tháo.
曹操有宝剑二口：一名“倚天”，一名“青釭”；倚天剑自佩之，青釭剑令夏侯恩佩之。	Nguyên Tháo có hai thanh gươm báu, một thanh gọi là "Ỷ Thiên", một thanh gọi là "Thanh Công". Thanh "Ỷ Thiên" Tháo đeo luôn bên mình, còn thanh "Thanh Công" thì giao cho Hạ Hầu Ân.
那青釭剑砍铁如泥，锋利无比。	Thanh gươm này chém sắt như chém bùn, sắc bén vô cùng.
当时夏侯恩自恃勇力，背着曹操，只顾引人抢夺掳掠。	Hôm ấy Hạ Hầu Ân cậy mình có sức khỏe, đi cách xa Tào Tháo, chỉ chực xông vào đám bách tính cướp giật, không ngờ gặp phải Triệu Vân.
不想撞着赵云，被他一枪刺死，夺了那口剑，看靶上有金嵌“青釭”二字，方知是宝剑也。 云插剑提枪，复杀入重围，回顾手下从骑，已没一人，只剩得孤身。	Vân đâm chết Ân rồi đoạt lấy thanh gươm xem, thấy có hai chữ "Thanh Công", mạ vàng, biết ngay là gươm báu, liền giắt vào mình, rồi xông vào vòng vây, ngoảnh lại xem thủ hạ thì không còn ai nữa, chỉ trơ trọi có một mình.
云并无半点退心，只顾往来寻觅；但逢百姓，便问糜夫人消息。	Nhưng vẫn không chồn dạ chút nào, cứ xông xáo đi tìm, gặp ai cũng hỏi tin tức My phu nhân và A Đẩu.
忽一人指曰：“夫人抱着孩儿，左腿上着了枪，行走不得，只在前面墙缺内坐地。	Có một ngưới trỏ bảo rằng: - Vừa thấy phu nhân ôm một đứa bé, đùi bên trái thì bị thương, chạy không được, đến ngồi ở trong bức tường đổ trước mặt kia.
赵云听了，连忙追寻。 只见一个人家，被火烧坏土墙，糜夫人抱着阿斗，坐于墙下枯井之傍啼哭。	Vân vội vàng theo đến, chỉ thấy một cái nhà cháy có bức tường đất đổ. My phu nhân ôm A Đẩu ngồi ở bờ giếng cạn khóc lóc.
云急下马伏地而拜。	Vân xuống ngựa, lạy thụp xuống đất.
夫人曰：“妾得见将军，阿斗有命矣。	Phu nhân nói: - Thiếp được gặp tướng quân đây, thực là số mệnh A Đẩu còn sống.
望将军可怜他父亲飘荡半世，只有这点骨血。	Tướng quân nên thương lấy cha nó, long đong nửa đời rồi mà mới có một mụn con.
将军可护持此子，教他得见父面，妾死无恨！”	Xin tướng quân giữ gìn thế nào, cho nó còn được trông thấy mặt cha thì thiếp chết cũng cam tâm.
云曰：“夫人受难，云之罪也。 不必多言，请夫人上马。	Vân nói: - Phu nhân đến nỗi này, cũng là tội Vân, xin phu nhân không nên nói nhiều, hãy mau lên ngựa.
云自步行死战，保夫人透出重围。”	Vân đi bộ theo, cố sức đánh để bảo vệ phu nhân cùng A Đẩu ra khỏi vòng vây.
糜夫人曰：“不可！	My phu nhân nói: - Không xong rồi!
将军岂可无马！	Tướng quân không thể không có ngựa.
此子全赖将军保护。	Đứa trẻ này hoàn toàn trông cậy vào tướng quân.
妾已重伤，死何足惜！ 望将军速抱此子前去，勿以妾为累也。”	Vả thiếp bị nặng, dù chết cũng chẳng đáng tiếc; xin tướng quân hãy bế A Đẩu đi cho mau, đừng vì thiếp mà mang lụy nữa.
云曰：“喊声将近，追兵已至，请夫人速速上马。”	Vân nói: - Tiếng reo đã gần, quân đuổi theo sắp đến, xin mời phu nhân mau mau lên ngựa.
糜夫人曰：“妾身委实难去。 休得两误。”	My phu nhân nói: - Quả thật thiếp không sao đi được, xin tướng quân đừng để lỡ cả hai.
乃将阿斗递与赵云曰：“此子性命全在将军身上！”	Liền đưa A Đẩu cho Triệu Vân và nói rằng: - Tính mệnh đứa trẻ này hoàn toàn nằm trong tay tướng quân đó.
赵云三回五次请夫人上马，夫人只不肯上马。	Triệu Vân năm lần bảy lượt mời phu nhân lên ngựa nhưng phu nhân cứ nằng nặc không nghe.
四边喊声又起。	Bốn bề tiếng hò reo lại nổi dậy.
云厉声曰：“夫人不听吾言，追军若至，为之奈何？”	Vân nói lớn lên rằng: - Phu nhân không nghe lời tôi, quân giặc kéo đến thì làm thế nào?
糜夫人乃弃阿斗于地，翻身投入枯井中而死。	My phu nhân liền bỏ con xuống đất, rồi gieo ngay mình xuống giếng khô mà chết.
后人有诗赞之曰：“战将全凭马力多，步行怎把幼君扶？	Đời sau có thơ than rằng: Chiến tướng toàn nhờ vào sức ngựa, Chân không bảo vệ ấu quân ư?
拚将一死存刘嗣，勇决还亏女丈夫。”	Hy sinh cứu lấy dòng Lưu Bị, Dũng cảm ai bằng nữ trượng phu!
赵云见夫人已死，恐曹军盗尸，便将土墙推倒，掩盖枯井。	Triệu Vân thấy phu nhân chết rồi, sợ quân Tào đến cướp mất xác, liền đạp đổ bức tường xuống, lấp kín giếng.
掩讫，解开勒甲绦，放下掩心镜，将阿斗抱护在怀，绰枪上马。	Rồi cởi dây lưng thắt áo giáp ra, bỏ miếng hộ tâm kính xuống, đem A Đẩu buộc vững vào lòng, vác giáo nhảy lên ngựa.
早有一将，引一队步军至，乃曹洪部将晏明也，持三尖两刃刀来战赵云。	Giữa lúc ấy, một tướng dẫn đội bộ quân đến, chính là Yến Minh, bộ tướng của Tào Hồng.
不三合，被赵云一枪刺倒，杀散众军，冲开一条路。	Minh vác một thanh dao ba ngạc hai lưỡi, đến đánh Triệu Vân, chưa đầy ba hiệp, bị Vân đâm một nhát giáo chết. Vân lại đánh tan cả quân tướng, mở một đường chạy.
正走间，前面又一枝军马拦路。 当先一员大将，旗号分明，大书河间张郃。	Đương chạy, trước mặt lại có một toán quân chặn đường, môt viên tướng đi đầu, cờ hiệu đề bốn chữ lớn "Hà Gian Trương Cáp".
云更不答话，挺枪便战。	Vân chẳng đôi hồi, khua giáo đánh liền.
约十余合，云不敢恋战，夺路而走。	Được hơn mười hiệp, Vân không dám ham đánh nữa, cướp đường mà chạy.
背后张郃赶来，云加鞭而行，不想趷跶一声，连马和人，颠入土坑之内。	Trương Cáp đuổi theo, Vân ra roi chạy miết, không ngờ đánh huỵch một cái cả người lẫn ngựa sa xuống hố sâu.
张郃挺枪来刺，忽然一道红光，从土坑中滚起，那匹马平空一跃，跳出坑外。	Trương Cáp vội vác giáo lại đâm. Bỗng nhiên một đạo hồng quang từ dưới hố bốc lên, con ngựa nhảy vọt lên khỏi hố.
后人有诗曰：“红光罩体困龙飞，征马冲开长坂围。 四十二年真命主，将军因得显神威。”	Đời sau có thơ than rằng: Hồng quang chói lọi cánh rồng bay, Vó ngựa xông pha thoát khỏi vây Bốn chục hai năm thiên tử mệnh Tướng quân được dịp trổ thần oai.
张郃见了，大惊而退。	Trương Cáp thấy thế, sợ hãi rút lui.
赵云纵马正走，背后忽有二将大叫：“赵云休走！”	Triệu Vân đương tế ngựa chạy, bỗng sau lưng lại thấy cóù hai tướng gọi to rằng: - Triệu Vân đừng chạy nữa!
前面又有二将，使两般. 军器，截住去路：后面赶的是马延、张顗，前面阻的是焦触、张南，都是袁绍手下降将。	Trước mặt cũng lại thấy hai tướng, mỗi tướng cầm một thứ binh khí, chặn ngang đường. Hai tướng đuổi sau lưng là Mã Diên, Trương Dĩ; hai tướng chặn trước mặt là Tiêu Súc, Trương Nam. Bốn người cùng là hạ thủ cũ của Viên Thiệu.
