赵氏之先，与秦共祖。	Tổ tiên họ Triệu cùng gốc với nước Tần.
乃令赵胜受地，告冯亭曰：“敝国使者臣胜，敝国君使 胜致命，以万户都三封太守， 千户都三封县令，皆世世为侯，吏民皆益爵三 级，吏民能相安，皆赐之六金。”	Bèn sai Triệu Thắng nhận đất, báo với Phùng Đình rằng: “Sứ giả tệ quốc, thần là Thắng, nhà vua tệ quốc sai Thắng truyền đạt mệnh lệnh, đem ba thành ấp vạn hộ phong cho Thái thú, đem ba thành ấp nghìn hộ phong cho Huyện lệnh, đời đời đều hưởng tước hầu, quan lại và dân chúng đều được thêm tước ba cấp, quan lại và dân chúng cũng được yên, đều được tặng sáu lượng vàng.”
冯亭垂涕不见使者，曰：“吾不处 三不义也：为主守地，不能死固，不义一矣；入之秦，不听主令，不 义二矣；卖主地而食之，不义三矣。”	Phùng Đình rơi nước mắt, không gặp sứ giả, nói: “Ta không thể mắc vào ba điều bất nghĩa: Vì chúa giữ đất mà không thể lấy cái chết để giữ đến cùng, đó là điều bất nghĩa thứ nhất; hiến đất cho Tần, không nghe lệnh chúa, đó là điều bất nghĩa thứ hai, bán đất của chúa mà ăn, đó là điều bất nghĩa thứ ba.”
赵遂发兵取上党。	Nước Triệu bèn phát binh chiếm lấy Thượng Đảng.
廉颇将军军长平。	Liêm Pha cầm quân đóng ở Trường Bình.
王悔不听赵豹之计，故有长平之祸焉。	Triệu vương hối hận vì không theo kế của Triệu Báo, cho nên gây nên mối họa ở Trường Bình.
赵以灵丘 封楚相春申君。	Triệu đem Linh Khâu phân phong cho Tướng quốc nước Sở là Xuân Thân quân.
八年，平原君如楚请救。	Năm thứ tám, Bình Nguyên quan đến Sở cầu viện.
燕王令丞相栗腹约驩， 以五百金为赵王酒，还归，报燕王曰：“赵氏壮者皆死长平，其孤未 壮，可伐也。”	Yên vương lệnh cho Thừa tướng Lật Phúc sang kết ước hòa hiếu với Triệu, dùng năm trăm cân vàng làm tiền chúc rượu Triệu vương, trở về, [Lật Phúc] báo với Yên vương rằng: “Trai tráng nước Triệu đều chết ở trận Trường Bình, con côi của họ chưa lớn, có thể tiến đánh.”
对曰：“不可。”	Đáp rằng: “Không được.”
对 曰：“不可。”	Đáp rằng: “Không được.”
群臣皆以为可。	Quần thần đều cho là có thể đánh được.
十九年，赵与燕易土： 以龙兑、 汾门、 临乐 与燕；燕以葛、武阳、 平舒 与赵。	Năm thứ mười chín, Triệu đổi đất với Yên: đem Long Đoài, Phần Môn, Lâm Nhạc cắt cho Yên, nước Yên đem thành Cát, Vũ Dương, Bình Thư cắt cho Triệu.
秦召春平君，因而留之。	Tần triệu Xuân Bình quân, nhân đó giữ lại.
泄钧 为之谓文信侯曰：“春平君者，赵王甚爱之而郎中妒 之，故相与谋曰‘春平君入秦，秦必留之’，故相与谋而内之秦也。 今君留之，是绝赵而郎中之计中也。君不如遣春平君而留平都。 春平君者言行信於 王，王必厚割赵而赎平都。”	Tiết Quân vì Xuân Bình quân nói với Văn Tín hầu rằng: “Xuân Bình quân được Triệu vương rất sủng ái, nhưng Lang trung lại đố kỵ, cho nên cùng bàn tính với nhau rằng: 'Xuân Bình quân sang Tần, Tần ắt giữ ông ta lại', cho nên cùng tính kế để Xuân Bình quân sang Tần vậy. Nay ngài giữ ông ta lại, đó là tuyệt giao với Triệu mà trúng kế của các Lang trung. Chẳng bằng ngài hãy thả Xuân Bình quân rồi giữ lại huyện Bình Đô. Lời nói và việc làm của Xuân Bình quân được Triệu vương tin tưởng, Triệu vương ắt cắt nhiều đất đai nước Triệu để chuộc Bình Đô.”
五年，傅抵 将，居平邑；庆舍将东阳河外师，守 河梁。	Năm thứ năm, Phó Để làm tướng, đóng ở Bình Ấp; Khánh Xá chỉ huy quân Đông Dương, Hà Ngoại, giữ cầu trên sông Hoàng Hà.
李牧诛， 司马尚免，赵怱及齐将颜聚代之。	Lý Mục bị [Triệu vương] giết, Tư Mã Thượng bị miễn chức, Triệu Hốt cùng tướng Tề là Nhan Tụ ra thay thế.
太史公曰。 吾闻冯王孙曰：“赵王迁，其母倡也， 嬖於悼襄王。悼襄王废適子嘉而立迁。迁素 无行，信谗，故诛其良将李牧，用郭开。”	Thái sử công bàn rằng: Ta nghe Phùng vương tôn nói: “Mẹ của Triệu Dương Thiên là con hát, được Điệu Tương sương sủng ái. Điệu Tương vương phế con đích là Gia rồi lập Thiên [làm Thái tử]. Thiên vốn không có đức hạnh, tin lời gièm pha, cho nên giết tướng giỏi của mình là Lý Mục, dùng Quách Khai.”
杵臼谬曰：“小人 哉程婴！昔下宫之难不能死，与我谋匿赵氏孤兒，今又卖我。纵不能 立，而忍卖之乎！”	Chử Cữu dối rằng: “Tiểu nhân thay, Trình Anh! Trước đây nạn ở Hạ Cung đã không thể chết theo, bàn tính với ta giấu con côi họ Triệu, nay lại bán đứng ta. Nếu không lập được, sao lại nhẫn tâm bán đứng nó!”
午许 诺，归而其父兄不听，倍 言。	Ngọ đồng ý, trở về thì cha anh của Ngọ không nghe, làm trái lời đã hứa.
明日，徐越 侍，以节财俭用，察度功德。	Hôm sau nữa, Từ Việt hầu vua, nói về việc tiết kiệm của cải và chi dùng, khảo xét công lao và đức độ.
他日，王梦见处女鼓琴而歌诗 曰：“美人荧荧兮，颜若苕之荣。 命乎命乎， 曾无我嬴！”	Ngày nọ, Vũ Linh vương mộng thấy một xử nữ đánh đàn hát bài thơ rằng: “Người đẹp rạng ngời chừ, dung nhan tựa bông lau xinh. Mệnh chăng mệnh chăng, ta vốn họ Doanh!”
王军取鄗、石邑、 封龙、 东垣。	Quân của Vũ Linh vương chiếm ấp Hạo, Thạch Ấp, Phong Long và Đông Viên.
公 子章之败，往走主父，主主开之， 成、兑因围主父宫。	Công tử Chương thua, chạy đến chỗ Chủ Phụ, Chủ Phụ mở cổng cho vào, Thành và Đoài nhân đó bao vây cung của Chủ Phụ.
主父定死，乃发丧赴诸侯。	Chắc chắn Chủ Phụ đã chết, mới phát tang và báo cho chư hầu.
二十七年，徙漳水武平南。	Năm thứ hai mươi bảy, dời dòng chảy sông Chương Thủy về phía nam Vũ Bình.
武阳君郑安平死， 收其地。	Vũ Dương quân Trịnh An Bình chết, thu hồi đất phong.
封牧为武安君。	Phong Lý Mục làm Vũ An quân.
岂不缪哉！	Há chẳng phải là nói bừa ư!
以扁鹊言告简子，简子赐扁鹊田四万亩。	Rồi đem lời của Biển Thước nói cho Giản tử, Giản tử tặng bốn vạn mẫu ruộng cho Biển Thước.
简子与阳虎送卫太子蒯聩于卫，卫不 内，居戚。	Giản tử cùng Dương Hổ đưa Thái tử nước Vệ là Khoái Hội về nước Vệ, Vệ không cho về, [Thái tử] ở thành Thích.
是岁，越王 句践灭吴。	Năm này, Việt vương Câu Tiễn diệt nước Ngô.
明日，荀欣侍，以选练举贤，任官使能。	Hôm sau, Tuân Hân hầu vua, nói về việc tuyển chọn và cất nhắc hiền năng, trọng dụng quan lại và sai khiến người tài.
魏败我蔺。	Nước Ngụy đánh bại quân Triệu ở ấp Lận.
魏败我怀。	Ngụy đánh bại quân Triệu ở ấp Hoài.
魏败我澮，取皮牢。	Ngụy đánh bại quân Triệu ở đất Khoái, chiếm được Bì Lao.
遂胡服招骑射。	[Thế rồi dân nước Triệu] bèn mặc trang phục người Hồ, chiêu mộ quân sĩ luyện tập cưỡi ngựa bắn cung.
还归，行赏，大赦，置酒酺五日，封长子章为代安阳君。	Trở về, tiến hành ban thưởng, đại xá thiên hạ, bày tiệc rượu năm ngày, phong con trưởng là Chương làm An Dương quân ở đất Đại.
主父又使田不礼相章也。	Chủ Phụ lại sai Điền Bất Lễ phụ tá cho Chương.
秦拔我榆次三 十七城。	Tần hạ được ba mươi bảy thành ở đất Du Thứ nước Triệu.
五年，代地大动，自乐徐以西， ”北至平阴，台屋墙垣太半 坏，地坼东西百三十步。	Năm thứ năm, đất Đại có động đất lớn, từ Lạc Từ về phía tây, phía bắc đến Bình Âm, tường điện đài nhà cửa hư hoại quá nửa, đất nứt từ đông sang tây rộng một trăm ba mươi bộ.
知 伯醉，以酒灌击毋恤。	Trí bá say rượu, rót rượu rồi đánh Vô Tuất.
左师触龙言原 见太后，太后盛气而胥之。	Tả sư Xúc Long nói muốn bái kiến Thái hậu, Thái hậu tức khí cho vào.
牛畜侍烈侯以仁义，约以王道，烈侯逌然。	Ngưu Súc dùng nhân nghĩa để phụng thờ Liệt hầu, dùng vương đạo để ước thúc, Liệt hầu rất thích.
筑刚平 以侵卫。	Dựng ấp Cương Bình để xâm chiếm Vệ.
武垣令 傅豹、王容、苏射率燕众反燕地。	Vũ Viên lệnh cho Phó Báo, Vương Dung, Tô Xạ thống lĩnh quân Yên trở về đất Yên.
率师从相国信平君助魏攻燕。	Năm thứ mười bảy, quyền Tướng quốc, Đại tướng Vũ Tướng quân tấn công nước Yên, bao vây quốc đô nước Yên. Năm thứ mười tám, Diên Lăng quân thống lĩnh quân đội theo Tướng quốc Tín Bình quân giúp Ngụy tấn công nước Yên.
