奉勅開載諸臣職名總裁	Vâng sắc khai chép tên chức và tên các quan trong Quốc sử quán: Tổng tài:
上問何如	Chúa hỏi kế hoạch thế nào?
對 曰	Đáp rằng:
近來連歲用兵 我軍未嘗北渡	"Gần đây liền năm dụng binh mà quân ta chưa từng sang miền Bắc.
今臣請分兵三道	Nay thần xin chia quân làm ba đạo:
上道先攻必全 中道繼進 以爲聲應	Thượng đạo tiến trước đánh Tất Đồng, trung đạo tiếp sau làm thanh ứng.
鄭檮在河中聞之 將謂我兵之來 其意惟在必仝而已 必空壘赴援	Trịnh Đào ở Hà Trung nghe thấy chắc cho rằng quân ta lại đây chỉ để đánh Tất Đồng thôi, tất nhiên bỏ lũy không mà đi cứu viện.
下道兵因進橫山襲黎有德 乘虛奪河中營	Quân hạ đạo nhân tiến đến Hoành Sơn, đánh úp Lê Hữu Đức, thừa hư cướp lấy dinh Hà Trung.
是調虎出林引蛇八穴之計 一舉可獲全勝矣	Đó là kế "điệu hổ ra khỏi rừng, dẫn rắn vào trong lỗ", đánh một trận có thể thu toàn thắng".
上喜	Chúa mừng nói:
曰 卿論兵 有鬼神不測之妙 子房伯温亦不是過	"Khanh bàn việc binh có vẻ mầu nhiệm bất trắc như quỷ thần, dù Tử Phòng Bá Ôn cũng không hơn được".
有鎰又請於廣平諸海口設火號臺 以敏邊報 及修長育倉 運粟貯之	Hữu Dật lại xin đặt đài hỏa hiệu ở các cửa biển Quảng Bình để báo tin việc biên giới cho chóng và dựng kho Trường Dục, chở thóc đến chứa.
仍令廣平布政諸營將士 各整軍需 以待徵發	Lại xin hạ lệnh cho tướng sĩ các dinh Quảng Bình và Bố Chính đều chỉnh bị quân nhu để đợi trưng phát.
上皆從之	Chúa đều theo cả.
乃授阮有進爲節制 阮有鎰爲督戰	Bèn cho Nguyễn Hữu Tiến làm tiết chế, Nguyễn Hữu Dật là đốc chiến.
庚午有進有鎰率水步諸營渡爧江	Ngày Canh ngọ, Hữu Tiến và Hữu Dật đem quân các dinh thủy bộ qua sông Gianh.
先遣舊營鎭守 宋有大出 屢登社名市 擊走鄭參督鄧明則奪其營 扶陽出芙萏 破三號營 必仝走入巄芃 地名鄭檮	Trước sai trấn thủ Cựu dinh là Tống Hữu Đại ra chợ Lũ Đăng (tên xã) đánh đuổi Tham đốc của Trịnh là Đặng Minh Tắc để cướp lấy dinh, Phù Dương ra Phù Lưu phá dinh Tam Hiệu [Ba Đồn], Tất Đồng chạy vào Lũng Bòng [tên đất].
聞三號失守 果悉其眾 從山路赴援	Trịnh Đào nghe tin Tam Hiệu thất thủ, quả nhiên đem hết quân theo đường núi đến cứu viện.
日暮宋有大等復引兵回 依江畔駐札	Đến chiều hôm, Tống Hữu Đại lại dẫn quân trở về, đóng ở bên sông.
有進分遣春山爲下道 先鋒阮福喬與該奇高伯福都督國公高伯葩之子宋威阮義分兵四隊屬焉	Hữu Tiến chia sai Xuân Sơn làm hạ đạo, tiên phong Nguyễn Phước Kiều với Cai cơ Cao Bá Phước (con Đô đốc quốc công Cao Bá Hoa), Tống Uy và Nguyễn Nghĩa chia quân làm 4 đội thuộc vào.
有進自率壯捷軍爲中道	Hữu Tiến tự xuất quân Tráng tiệp làm trung đạo.
該奇朝義扶才二人名俱缺姓 爲左右衞陣	Cai cơ Triều Nghĩa và Phù Tài (hai người đều không rõ họ) làm tả hữu vệ trận.
有鎰領前銃 奇兵後接	Hữu Dật lãnh cơ Tiền súng tiếp sau.
約以翌日齊到河中營	Ước hẹn ngày mai đều đến dinh Hà Trung.
扶陽爲上道先鋒宋有大接應將兵	Phù Dương làm thượng đạo, tiên phong Tống Hữu Đại tiếp ứng, đem quân đuổi đánh Tất Đồng.
追擊必全 辛未下道春内等出奇兵 據洊海口 以禦有德	Ngày Tân mùi, hạ đạo là bọn Xuân Sơn sai một cánh quân lẻ ra giữ cửa Ròn để chống với thuộc tướng của Hữu Đức là Bật Trung (không rõ họ) mà tự dẫn quân tiến thẳng đến Hoành Sơn, gặp quân Hữu Đức đánh phá được.
屬將弼忠缺姓 而自引兵 直進橫山 遇有德 擊破之 有德敗走樂川社名 收獲象馬器械無算	Hữu Đức thua chạy về xã Lạc Xuyên, Xuân Sơn thu được voi ngựa khí giới rất nhiều, rồi thừa thắng thẳng đến dinh Hà Trung.
乘勝直抵河中營 鄭檮裨將蓁沛紀紹二人名俱缺姓 悉力拒戰 春山退 磐石溪	Tỳ tướng của Trịnh Đào là Trăn Bái và Kỷ Thiệu (hai người đều không rõ họ) hết sức chống đánh Xuân Sơn phải lùi về khe Bàn Thạch.
有進大兵繼至 斬蓁沛 紀紹遁走	Đại binh của Hữu Tiến kế đến, chém được Trăn Bái; Kỷ Thiệu trốn chạy.
我師克河中營	Quân ta lấy được dinh Hà Trung.
上道 扶陽追必全及於巄芃	Thượng đạo là Phù Dương đuổi Tất Đồng tới Lũng Bông.
鄭檮從橫山後走至白石岡 初有鎰度檮敗必由山路走 先引所部于此設伏 及檮至	Trịnh Đào thì theo phía sau núi Hoành Sơn chạy tới gò Bạch Thạch. Hữu Dật đạc chừng rằng Đào thua tất phải theo đường núi mà chạy, nên đã đem quân bản bộ mai phục ở đó trước.
此處如有伏兵 我輩無去路矣	"Chỗ này nếu có phục binh thì bọn ta không còn đường nữa".
言未已 伏兵猝起	Nói chưa dứt lời, phục binh vùng dậy.
有鎰手射檮中左臂	Hữu Dật chính tay bắn trúng vào cánh tay trái của Đào.
檮遂盡棄象馬器械 與有德走回 安場社名卽今父安省莅	Đào bèn bỏ hết voi ngựa khí giới, cùng Hữu Đức chạy về xã An Trường (nay là tỉnh lỵ Nghệ An).
有鎰欲乘勝長驅	Hữu Dật muốn thừa thắng đuổi dài.
上喜	Chúa mừng nói:
遣將臣吏至軍 賞勞將士	Sai tướng thần lại đến chỗ quân, thưởng lạo tướng sĩ.
又密諭有鎰 按兵招撫 以俟機會 勿輕進 凡軍事當與有進商議 不可自專	Lại mật dụ cho Hữu Dật đóng binh mà vỗ về quân dân để chờ cơ hội, chớ nên khinh tiến, phàm việc quân nên cùng Hữu Tiến thương nghị, không nên tự chuyên.
於是有進有鎰立招安牌以收眾心	Bấy giờ Hữu Tiến và Hữu Dật dựng bài chiêu an để thu phục lòng người.
鄭參督鄧明則與朝蘇秀龍鑽武寧祿四人名俱缺姓 皆詣軍門降	Tham đốc của Trịnh là Đặng Minh Tắc cùng với Triều Tô, Tú Long, Toàn Võ, Ninh Lộc (4 người đều không rõ họ) đều đến cửa quân đầu hàng.
有進分隸諸營 籍新降將士兵民之數 以獻	Hữu Tiến chia ra cho lệ thuộc các dinh, ghi số tướng sĩ quân dân mới hàng để dâng lên.
有鎰又修書招鄭檮降 檮不聽	Hữu Dật lại viết thư kêu gọi Trịnh Đào đầu hàng, Đào không nghe.
卽密遣阮文芳及其弟阮文祥 齎金寶 縱間諜 以鄭檮失利欲降之狀 托鄭都督崇缺姓言於鄭梉	Tức thì mật sai Nguyễn Văn Phương và em là Nguyễn Văn Tường đem vàng bạc và tung gián điệp, lấy tình trạng Trịnh Đào bị thua muốn đầu hàng mà nhờ đô đốc của Trịnh là Sùng (không rõ họ) nói với Trịnh Tráng.
梉信之 令執檮以歸	Tráng tin lời, ra lệnh bắt Đào giải về.
檮創重道死	Đào bị thương nặng, chết ở đường.
事聞 上大悅 賞有進黃金三十兩白金一百兩 有鎰黃金三十兩白金八十兩 又加賞有鎰錦衣一寶劍一 餘諸將賞賜各有差	Việc ấy báo lên, chúa rất mừng, thưởng cho Hữu Tiến 30 lạng vàng, 100 lạng bạc, Hữu Dật 30 lạng vàng, 80 lạng bạc và thưởng thêm cho Hữu Dật một cái áo gấm, một thanh bảo kiếm. Các tướng khác cũng đều được thưởng theo thứ bực.
夏五月鄭梉遣太保鄭杖爲統領 陪從阮文濯 給事中阮性爲正副督視 領十八將 收復河中營	Mùa hạ, tháng 5, Trịnh Tráng sai Thái bảo Trịnh Trượng làm thống lãnh, Bồi tụng Nguyễn Văn Trạc và Cấp sự trung Nguyễn Tính làm Chánh phó đốc thị, lãnh 18 tướng để thu phục dinh Hà Trung.
武文添領戰船五十艘 次奇羅海口	Võ Văn Thiêm lãnh 50 chiến thuyền, đóng ở cửa biển Kỳ La.
阮有進聞之 請阮有鎰問計 有鎰曰	Nguyễn Hữu Tiến nghe tin, mời Nguyễn Hữu Dật đến hỏi kế, Hữu Dật nói:
彼眾我寡 難與爭鋒	"Quân họ nhiều, quân ta ít, khó chống chọi được.
且暫還瀘江 示之以弱 密遣步兵伏于巄芃 水兵駐洊海口以待之	Ta hãy tạm lui quân về sông Gianh để tỏ rằng quân mình yếu, rồi mật khiến bộ binh phục ở Lũng Bông, thủy binh đóng ở cửa Ròn để đợi.
杖等見我師南還 必謂我怯不爲備 因而攻之	Bọn Trượng thấy quân ta trở về Nam tất bảo rằng ta nhát, mà không phòng bị.
杖等必爲我擒 文添不攻而自破矣 有進然之 乃遣該奇張福雄	Ta nhân thế mà tiến đánh, bọn Trượng tất bị ta bắt; Văn Thiêm thì không đánh cũng vỡ thôi".
張福奮之子 時稱雄威侯 領兵伏于巄芃尊室 壯領戰船 出洊海口 而自撤兵還爧江 及杖等至河中營	Hữu Tiến cho là phải, bèn sai cai cơ Trương Phước Hùng (con Trương Phước Phấn, bấy giờ gọi là Hùng Oai hầu) đem quân phục ở Lũng Bông, Tôn Thất Tráng lãnh chiến thuyền ra cửa Ròn, mà tự mình thì rút quân về sông Gianh.
文濯曰	Văn Trạc nói:
有進 有鎰智勇之將	"Hữu Tiến, Hữu Dật là những tướng có mưu trí và sức mạnh.
北渡以來 乘勝遠鬬 銳氣益壯 今無故撤兵 必誘我也	Từ khi sang Bắc tới nay, thừa thắng đuổi đánh xa, nhuệ khí rất hăng, nay không có cớ gì mà rút quân, hẳn là kế dử ta.
不如左次樂川 水步相接 隨機應變	Không gì bằng lui đóng ở xã Lạc Xuyên, quân thủy quân bộ tiếp nhau, rồi tùy cơ ứng biến.
此兵法也	Đấy là binh pháp".
杖如其言	Trượng theo lời.
退屯樂川下社名 遣兵五百人 巡遊河中營	Lùi đóng ở xã Lạc Xuyên Hạ sai 500 quân tuần du ở dinh Hà Trung để phô thanh thế.
以爲聲勢 有進有鎰聞之	Hữu Tiến, Hữu Dật nghe tin, dâng lời nói rằng:
上言 曰 昔者曹兵百萬見挫東吳 郝昭三千能拒諸葛 多寡非所論也	"Trước kia Tào Tháo có quân 100 vạn mà bị thua với Đông Ngô, Thích Chiêu Quân chỉ 3000 mà chống được Gia Cát, số quân nhiều ít không đủ kể.
今鄭杖領兵南來 踰月未嘗一戰 乃棄奇燕縣名 今改奇英之地 退據樂川 是兵雖多 而無鬬志	Nay Trịnh Trượng đem quân vào Nam, đã hơn một tháng mà chưa từng đánh một trận nào, lại bỏ đất Kỳ Hoa (tên huyện, nay cải là Kỳ Anh), lui giữ Lạc Xuyên, đó là quân tuy nhiều mà không có chí chiến đấu.
臣等請發兵擊之 大軍隨後策應	Vậy bọn thần xin phát binh đi đánh, đại quân theo sau tiếp ứng.
且列水兵于濡江 以爲聲援	Lại bày thủy quân ở sông Gianh để làm thanh viện".
上許之	Chúa y cho.
秋八月阮有進阮有鎰令諸將分道竝進	Mùa thu, tháng 8, Nguyễn Hữu Tiến và Nguyễn Hữu Dật sai các tướng chia đạo đều tiến:
正道張福雄扶陽純德奎勝三人名俱缺姓等 率先鋒兵 攻鄭遊兵走之 直抵樂川 下破鄭杖營	Chánh đạo là bọn Trương Phước Hùng, Phù Dương, Thuần Đức, Khuê Thắng (3 người đều không rõ họ) đốc suất quân tiên phong đánh chạy bọn du binh của Trịnh, đến thẳng Lạc Xuyên Hạ, đánh phá dinh Trịnh Trượng.
上道 宋有大春再扶才貢覺三人名俱缺姓等 聞樂川下已破 卽進攻 鄭將才迪二人名俱缺生 時稱郡公於樂川上社名 皆破之 收獲器械象馬不可勝計	Thượng đạo là bọn Tống Hữu Đại, Xuân Sơn, Phù Tài, Cống Giác (3 người đều không rõ họ), nghe tin Lạc Xuyên Hạ đã bị phá, liền tiến đánh bọn tướng Trịnh là Tài và Địch (hai người đều không rõ họ, bấy giờ gọi là quận công) ở xã Lạc Xuyên Thượng, cũng phá được, thu được khí giới và voi ngựa không xiết kể.
有鎰領水兵八奇羅海口 攻武文添文添	Hữu Dật lãnh thủy binh vào cửa biển Kỳ La [Cửa Nhượng], đánh Võ Văn Thiêm.
鄭將阮有勅黎仕厚皆望風遁走	Tướng Trịnh là Nguyễn Hữu Sắc, Lê Sĩ Hậu đều nghe hơi là chạy trốn.
鄭杖與諸將退保安場 我師乘勝進至彬舍 社名屬天祿縣	Trịnh Trượng cùng các tướng lùi giữ An Trường. Quân ta thừa thắng tiến đến xã Bân Xá (thuộc huyện Thiên Lộc).
北河爲之震動	Bắc Hà vì đó mà rung động.
有進遣人獻捷 而將兵屯樂川	Hữu Tiến sai người về dâng tin thắng trận, rồi đem quân đóng ở Lạc Xuyên.
九月鄭梉遣其子柞率大兵次于安場	Tháng 9, Trịnh Tráng sai con là Tạc xuất đại binh, đóng An Trường.
冬十月鄭梉復遣鄭寧雜季子時 稱郡公爲統領 陶光饒爲督率 武文添爲水軍督幸	Mùa đông, tháng 10, Trịnh Tráng lại khiến Trịnh Ninh (con út Trịnh Tráng, bấy giờ gọi là Quận công) làm Thống lãnh, Đào Quang Nhiêu làm đốc suất, Võ Văn Thiêm làm Đốc suất thủy quân.
進至	Quân Trịnh tiến đến Kỳ Hoa.
奇其我師 退屯河中營	Quân ta lui đóng ở dinh Hà Trung.
十一月鄭寧陶光饒復回安場	Tháng 11, Trịnh Ninh và Đào Quang Nhiêu lại về An Trường.
鄭柞北還 畱文添爲鎭守 光饒爲屯守 楊湖潘興造爲督視 各領所部駐安場 申文觥閔文蓮屯接武社名屬天祿縣 賴世時祥忠缺姓 屯明良社名恒漢 二人名俱缺姓	Trịnh Tạc trở về Bắc, để Văn Thiêm ở lại làm trấn thủ, Quang Nhiêu làm đồn thủ, Dương Hồ và Phan Hưng Tạo làm đốc thị, đều lãnh quân sở bộ đóng ở An Trường; Thân Văn Quanh, Mẫn Văn Liên đóng ở xã Tiếp Vũ (thuộc huyện Thiên Lộc), Lại Thế Thì và Tường Trung (không rõ họ) đóng ở xã Minh Lương, Hằng và Hán (2 người đều không rõ họ, bấy giờ gọi là Quận công) đóng ở núi Bình Lãng (tên xã), Văn Thiêm đóng ở sông Khu Độc, đều lãnh hương binh để chống giữ.
時稱郡公 屯平朗社 名山文添 屯驅犢江 各領鄕兵控禦 十二月鄭將祥忠等以鄕兵八奇菩 驅民人之降我者以歸	Tháng 12, tướng Trịnh là bọn Tường Trung đem hương binh vào Kỳ Hoa, lùa bắt những người dân đã theo hàng ta đem về.
阮有進會諸將于雲葛社名市 分遣畱延添榮 二人 名俱缺 橇爲正副先鋒 張福雄為衞陣將 兵出石河縣名	Nguyễn Hữu Tiến họp các tướng ở chợ Vân Cát (tên xã), chia sai Lưu Diên và Thiêm Vinh (2 người không rõ họ) làm chánh phó tiên phong, Trương Phước Hùng làm vệ trận, đem quân ra huyện Thạch Hà, đón đánh phá được.
邀擊大破之 雄果敢善戰 北人憚之 號爲雄鐵	Hùng là người quả cảm đánh giỏi, người miền Bắc sợ lắm, gọi là Hùng sắt.
時阮有鎰欲得外應以分鄭兵 乃遣文祥黃生等 齋密書 潛往北河諸鎭 招諭豪傑 約同舉事	Bấy giờ Nguyễn Hữu Dật muốn được ngoại ứng để chia lực lượng quân Trịnh, bèn khiến bọn Văn Tường và Hoàng Sinh đem mật thư lẻn đến các trấn Bắc Hà để chiêu dụ hào kiệt, hẹn cùng nổi lên.
高平莫敬完海陽名奮 稱郡公缺姓 時山西范有禮皆領命 曰	ở Cao Bằng thì Mạc Kính Hoàn, ở Hải Dương thì tên Phấn (không rõ họ, bấy giờ gọi là Quận công), ở Sơn Tây thì Phạm Hữu Lễ đều vâng mệnh, nói rằng:
王師若過藍江 願發兵應之 海陽不輸租稅 以絶其粮 高平進據團城 卽今諒山省莅 以分其勢 山西願爲內應	Hễ quân chúa qua sông Lam thì xin phát binh hưởng ứng, Hải Dương thì không nộp tô thuế để cho tuyệt lương, Cao Bằng thì tiến chiếm Đoàn Thành (nay là tỉnh lỵ Lạng Sơn) để chia thế lực, Sơn Tây thì nguyện làm nội ứng để cướp lấy thành.
